timestamp,open,high,low,close,volume
2024-07-11,5.345,5.518,5.277,5.296,128972.450074
2024-07-12,5.298,5.494,5.208,5.459,152749.232673
2024-07-13,5.459,5.613,5.44,5.564,104163.149317
2024-07-14,5.56,5.708,5.498,5.679,112865.963732
2024-07-15,5.677,5.981,5.666,5.959,214615.712967
2024-07-16,5.958,6.068,5.717,6.018,300202.214471
2024-07-17,6.019,6.212,5.996,5.997,199318.407238
2024-07-18,6.001,6.397,5.968,6.064,395053.409356
2024-07-19,6.065,6.345,5.997,6.296,268200.065327
2024-07-20,6.297,6.427,6.25,6.397,134858.075313
2024-07-21,6.395,6.492,6.067,6.398,175738.248362
2024-07-22,6.401,6.47,6.062,6.124,152291.502381
2024-07-23,6.123,6.274,5.866,5.959,162522.690281
2024-07-24,5.962,6.191,5.852,5.893,146829.627431
2024-07-25,5.894,5.943,5.486,5.684,357998.995494
2024-07-26,5.681,6.097,5.678,6.089,314054.952132
2024-07-27,6.089,6.218,6.025,6.102,189855.855634
2024-07-28,6.103,6.123,5.885,5.933,92733.90154
2024-07-29,5.933,6.144,5.758,5.799,202484.958681
2024-07-30,5.793,6.068,5.743,5.815,207912.717154
2024-07-31,5.818,5.933,5.614,5.642,178007.506225
2024-08-01,5.643,5.736,5.261,5.659,346586.767256
2024-08-02,5.655,5.704,5.17,5.235,293792.684051
2024-08-03,5.234,5.365,4.896,5.009,290538.927808
2024-08-04,5.01,5.085,4.551,4.706,242630.919801
2024-08-05,4.709,4.75,3.827,4.32,969318.136635
2024-08-06,4.319,4.648,4.312,4.496,281698.479209
2024-08-07,4.493,4.645,4.259,4.34,274082.85088
2024-08-08,4.34,4.888,4.266,4.853,207655.676033
2024-08-09,4.853,4.926,4.7,4.809,156476.62827
2024-08-10,4.807,4.939,4.747,4.899,100247.685605
2024-08-11,4.895,4.92,4.5,4.531,128273.064085
2024-08-12,4.533,4.85,4.484,4.776,165358.837379
2024-08-13,4.775,5.018,4.611,4.903,182919.640549
2024-08-14,4.899,4.91,4.668,4.721,111543.274488
2024-08-15,4.72,4.836,4.493,4.57,144218.453356
2024-08-16,4.573,4.705,4.513,4.637,159032.074837
2024-08-17,4.633,4.675,4.563,4.66,31165.314683
2024-08-18,4.657,4.906,4.576,4.651,77690.323413
2024-08-19,4.654,4.661,4.52,4.651,70379.656083
2024-08-20,4.648,4.841,4.632,4.774,69734.961474
2024-08-21,4.777,4.971,4.723,4.93,75393.413301
2024-08-22,4.929,4.993,4.837,4.969,55955.619581
2024-08-23,4.969,5.375,4.962,5.323,75718.730126
2024-08-24,5.323,5.453,5.243,5.356,53690.514139
2024-08-25,5.352,5.361,5.156,5.26,190010.481588
2024-08-26,5.264,5.38,4.924,4.981,107792.86477
2024-08-27,4.984,5.062,4.598,4.69,113082.514088
2024-08-28,4.687,4.804,4.496,4.641,131920.511986
2024-08-29,4.638,4.861,4.63,4.705,66188.195971
2024-08-30,4.702,4.843,4.549,4.786,88020.20109
2024-08-31,4.788,4.837,4.685,4.705,46566.388292
2024-09-01,4.708,4.721,4.395,4.451,86737.390368
2024-09-02,4.448,4.723,4.441,4.679,82381.761249
2024-09-03,4.677,4.766,4.443,4.454,82715.915399
2024-09-04,4.457,4.628,4.275,4.546,156084.902153
2024-09-05,4.547,4.563,4.389,4.442,77031.678729
2024-09-06,4.441,4.522,4.094,4.207,157261.882446
2024-09-07,4.208,4.336,4.165,4.256,37703.574957
2024-09-08,4.258,4.389,4.208,4.341,54042.707015
2024-09-09,4.343,4.573,4.314,4.529,88509.812029
2024-09-10,4.531,4.592,4.454,4.558,50067.488191
2024-09-11,4.561,4.567,4.394,4.545,82743.558947
2024-09-12,4.544,4.741,4.544,4.717,229838.026832
2024-09-13,4.72,4.858,4.645,4.822,187963.439885
2024-09-14,4.822,4.882,4.693,4.758,44615.941184
2024-09-15,4.756,4.77,4.548,4.585,39922.920025
2024-09-16,4.583,4.589,4.445,4.492,64617.472446
2024-09-17,4.492,4.729,4.465,4.652,123667.519252
2024-09-18,4.654,4.755,4.459,4.753,107707.840289
2024-09-19,4.753,4.987,4.753,4.912,116286.895633
2024-09-20,4.91,5.07,4.85,4.962,125756.514912
2024-09-21,4.963,5.131,4.931,5.125,63038.463679
2024-09-22,5.125,5.137,4.789,4.902,72184.758666
2024-09-23,4.899,5.094,4.788,5.048,102789.102178
2024-09-24,5.048,5.192,4.981,5.167,97093.913208
2024-09-25,5.165,5.266,5.075,5.163,97090.476245
2024-09-26,5.162,5.398,5.074,5.326,82929.987859
2024-09-27,5.325,5.468,5.277,5.421,76715.200385
2024-09-28,5.416,5.524,5.248,5.401,76433.960271
2024-09-29,5.399,5.507,5.269,5.507,63897.668405
2024-09-30,5.507,5.538,4.992,5.05,222745.90875
2024-10-01,5.05,5.194,4.606,4.697,185416.848491
2024-10-02,4.693,4.838,4.489,4.576,138475.644846
2024-10-03,4.572,4.661,4.37,4.499,192771.630645
2024-10-04,4.502,4.689,4.48,4.662,99951.632197
2024-10-05,4.665,4.723,4.533,4.605,65205.654079
