timestamp,open,high,low,close,volume
2024-07-11,2.135,2.207,2.094,2.124,5521.371274
2024-07-12,2.135,2.139,2.02,2.078,4580.455263
2024-07-13,2.097,2.21,2.076,2.181,6308.318803
2024-07-14,2.165,2.281,2.13,2.209,6764.926325
2024-07-15,2.223,2.407,2.194,2.389,13859.140962
2024-07-16,2.408,2.426,2.234,2.348,13597.975575
2024-07-17,2.348,2.465,2.343,2.371,9619.293099
2024-07-18,2.4,2.49,2.303,2.35,6007.400053
2024-07-19,2.319,2.448,2.3,2.411,8365.871512
2024-07-20,2.415,2.463,2.393,2.453,5949.756249
2024-07-21,2.452,2.489,2.359,2.489,2906.882027
2024-07-22,2.482,2.489,2.355,2.356,4169.129138
2024-07-23,2.366,2.436,2.229,2.243,10667.569536
2024-07-24,2.246,2.273,2.142,2.142,14167.663857
2024-07-25,2.135,2.207,2.049,2.192,5085.856309
2024-07-26,2.211,2.314,2.206,2.314,4216.345587
2024-07-27,2.314,2.389,2.28,2.341,15207.567072
2024-07-28,2.34,2.46,2.259,2.293,10885.704257
2024-07-29,2.296,2.419,2.296,2.343,8943.363454
2024-07-30,2.351,2.373,2.25,2.263,5443.945918
2024-07-31,2.25,2.288,2.166,2.169,13069.872239
2024-08-01,2.174,2.179,2.0,2.154,5285.415539
2024-08-02,2.166,2.17,1.842,1.855,22967.578736
2024-08-03,1.863,1.908,1.771,1.808,16423.519482
2024-08-04,1.804,1.83,1.664,1.695,10794.258661
2024-08-05,1.696,2.142,1.48,1.633,79691.32181
2024-08-06,1.628,1.794,1.628,1.75,7552.275715
2024-08-07,1.744,2.42,1.744,1.969,240921.304062
2024-08-08,1.948,2.283,1.885,2.057,182008.488914
2024-08-09,2.041,2.322,2.0,2.16,121077.190914
2024-08-10,2.154,2.731,2.114,2.447,247982.649085
2024-08-11,2.447,2.518,2.21,2.338,82766.755978
2024-08-12,2.325,2.506,2.228,2.277,54141.03999
2024-08-13,2.288,2.339,2.197,2.26,31487.952155
2024-08-14,2.254,2.385,2.123,2.133,81710.729254
2024-08-15,2.131,2.171,1.974,2.007,88986.491763
2024-08-16,1.998,2.12,1.968,2.076,17137.705038
2024-08-17,2.069,2.271,2.027,2.192,31754.705679
2024-08-18,2.195,2.419,2.126,2.202,37517.834988
2024-08-19,2.198,2.351,2.169,2.322,16193.877067
2024-08-20,2.336,2.381,2.237,2.286,10542.584591
2024-08-21,2.29,2.47,2.255,2.323,19157.14983
2024-08-22,2.333,2.38,2.272,2.313,9399.366791
2024-08-23,2.331,2.537,2.331,2.498,6993.756406
2024-08-24,2.489,2.567,2.457,2.488,14291.779118
2024-08-25,2.487,2.491,2.324,2.42,13250.966723
2024-08-26,2.403,2.584,2.337,2.341,16754.265072
2024-08-27,2.341,2.375,2.099,2.168,14992.083599
2024-08-28,2.15,2.198,2.012,2.13,28919.640967
2024-08-29,2.115,2.217,2.052,2.145,15294.647982
2024-08-30,2.169,2.246,2.075,2.205,14882.164139
2024-08-31,2.205,2.234,2.117,2.147,11473.062174
2024-09-01,2.147,2.176,2.089,2.089,9790.58851
2024-09-02,2.117,2.203,2.067,2.203,6846.63114
2024-09-03,2.2,2.226,2.035,2.035,7587.942978
2024-09-04,2.034,2.113,1.96,2.095,9241.367689
2024-09-05,2.096,2.096,1.967,1.987,2737.993865
2024-09-06,2.019,2.056,1.876,1.913,4346.037587
2024-09-07,1.917,2.011,1.915,1.952,4647.865251
2024-09-08,1.953,2.022,1.949,2.005,3199.849302
2024-09-09,2.006,2.068,1.995,2.012,6272.669636
2024-09-10,2.006,2.055,1.982,2.043,6916.311952
2024-09-11,2.009,2.053,1.957,2.022,4886.748049
2024-09-12,2.026,2.06,1.981,2.026,4647.384724
2024-09-13,2.008,2.074,1.984,2.067,6926.093031
2024-09-14,2.074,2.147,2.056,2.084,12915.011435
2024-09-15,2.084,2.118,1.95,1.966,12779.544179
2024-09-16,1.965,1.988,1.893,1.92,18136.539033
2024-09-17,1.909,2.008,1.906,1.96,3033.407622
2024-09-18,1.959,2.014,1.916,2.014,3430.089348
2024-09-19,2.05,2.174,2.05,2.153,15627.226287
2024-09-20,2.16,2.198,2.089,2.125,10136.453278
2024-09-21,2.147,2.186,2.136,2.156,2148.642025
2024-09-22,2.188,2.188,2.074,2.097,2608.070426
2024-09-23,2.136,2.181,2.108,2.169,6152.223543
2024-09-24,2.162,2.246,2.144,2.246,2621.522292
2024-09-25,2.248,2.254,2.132,2.132,3903.216809
2024-09-26,2.138,2.249,2.11,2.184,6263.291458
2024-09-27,2.209,2.274,2.186,2.25,5377.526508
2024-09-28,2.264,2.306,2.2,2.233,11233.06973
2024-09-29,2.213,2.315,2.151,2.291,3722.995936
2024-09-30,2.266,2.292,2.147,2.161,9394.755859
2024-10-01,2.158,2.29,1.933,1.968,13563.127872
2024-10-02,1.95,2.065,1.932,1.99,17804.68884
2024-10-03,1.973,2.016,1.881,1.931,8111.278953
2024-10-04,1.93,1.939,1.785,1.901,14204.075949
2024-10-05,1.909,1.938,1.809,1.849,13787.043602
2024-10-06,1.851,2.0,1.85,1.979,6476.170497
2024-10-07,1.956,2.04,1.925,1.954,11177.471872
2024-10-08,1.957,2.09,1.923,2.032,11860.998903
2024-10-09,2.024,2.042,1.856,1.919,4949.435008
2024-10-10,1.916,1.979,1.844,1.92,9045.042379
2024-10-11,1.89,1.97,1.843,1.936,2222.956565
2024-10-12,1.952,2.006,1.936,1.967,1660.941755
2024-10-13,1.958,2.072,1.939,2.03,7880.156795
2024-10-14,2.03,2.116,1.989,2.115,17182.489891
2024-10-15,2.116,2.129,1.964,2.02,9072.417974
2024-10-16,1.986,2.009,1.909,1.943,12440.897684
2024-10-17,1.937,1.955,1.9,1.9,4234.876894
2024-10-18,1.902,1.986,1.902,1.985,817.537807
2024-10-19,1.988,2.199,1.987,2.062,23227.972642
2024-10-20,2.074,2.406,2.049,2.261,26366.274082
2024-10-21,2.264,2.297,2.09,2.187,13971.822952
2024-10-22,2.188,2.52,2.168,2.405,70243.410846
2024-10-23,2.402,2.424,2.099,2.128,24670.073318
2024-10-24,2.136,2.286,2.1,2.257,5197.187567
2024-10-25,2.273,2.438,2.097,2.165,22807.442994
2024-10-26,2.197,2.751,2.101,2.335,180234.605832
2024-10-27,2.335,2.46,2.225,2.282,50190.172504
2024-10-28,2.298,2.299,2.117,2.19,16028.024458
2024-10-29,2.194,2.281,2.13,2.205,15346.441404
2024-10-30,2.205,2.257,2.059,2.092,15889.804875
2024-10-31,2.091,2.145,2.007,2.012,8048.204484
2024-11-01,2.012,2.095,1.97,2.012,13902.079721
2024-11-02,2.024,2.03,1.951,2.002,6183.197284
2024-11-03,2.007,2.013,1.803,1.942,4921.934496
2024-11-04,1.936,2.0,1.825,1.871,12169.909069
2024-11-05,1.882,2.007,1.882,1.923,6476.949379
2024-11-06,1.931,2.124,1.931,2.119,14130.005506
2024-11-07,2.122,2.172,2.105,2.133,4784.075703
2024-11-08,2.143,2.148,2.063,2.117,6298.723132
2024-11-09,2.113,2.217,2.097,2.199,12967.567331
2024-11-10,2.202,3.8,2.189,2.369,447765.179949
2024-11-11,2.366,2.6,2.315,2.537,54442.875842
2024-11-12,2.526,2.73,2.386,2.392,56205.603259
2024-11-13,2.409,2.412,2.179,2.273,48281.549098
2024-11-14,2.277,2.33,2.127,2.165,35328.335901
2024-11-15,2.172,2.293,2.1,2.28,15620.881379
2024-11-16,2.286,2.452,2.283,2.417,23666.926332
2024-11-17,2.427,2.59,2.269,2.374,26326.727015
2024-11-18,2.374,2.524,2.323,2.45,20812.822431
2024-11-19,2.448,2.533,2.24,2.28,30905.896253
2024-11-20,2.262,2.31,2.112,2.148,26737.36812
2024-11-21,2.145,2.308,2.079,2.233,20590.307708
2024-11-22,2.255,2.27,2.182,2.265,39381.261782
2024-11-23,2.265,2.466,2.254,2.439,47669.209412
2024-11-24,2.434,2.673,2.329,2.631,39163.166246
2024-11-25,2.593,2.808,2.513,2.658,42161.389755
2024-11-26,2.645,2.72,2.462,2.588,64217.501474
2024-11-27,2.58,2.846,2.531,2.829,31405.010349
2024-11-28,2.82,2.94,2.7,2.906,26245.463207
2024-11-29,2.896,3.001,2.842,2.923,27244.797994
2024-11-30,2.896,3.059,2.88,2.996,29719.456538
2024-12-01,2.996,3.029,2.836,2.907,23522.468333
2024-12-02,2.907,2.968,2.763,2.919,44273.8138
2024-12-03,2.919,3.199,2.9,3.194,51368.551294
2024-12-04,3.194,3.474,3.161,3.341,67645.207284
2024-12-05,3.341,3.812,3.215,3.425,78629.072811
2024-12-06,3.417,3.602,3.306,3.449,45074.476488
2024-12-07,3.449,3.506,3.361,3.4,33623.423931
2024-12-08,3.397,3.502,3.349,3.458,20893.421441
2024-12-09,3.467,3.467,2.791,2.976,52922.895578
2024-12-10,2.972,3.069,2.686,2.931,55219.786221
2024-12-11,2.929,3.188,2.79,3.091,31238.951521
2024-12-12,3.087,3.255,3.054,3.171,34087.908736
2024-12-13,3.187,3.586,3.106,3.504,75032.749953
2024-12-14,3.509,3.509,3.076,3.119,56300.212544
2024-12-15,3.127,3.275,2.936,3.052,55789.201909
2024-12-16,3.063,3.161,2.934,2.947,34633.920486
2024-12-17,2.948,3.008,2.837,2.848,53594.526454
2024-12-18,2.851,2.865,2.525,2.563,25307.831913
2024-12-19,2.563,2.885,2.383,2.473,68647.440617
2024-12-20,2.478,2.661,2.19,2.608,45743.539511
2024-12-21,2.598,2.717,2.49,2.583,11509.714922
2024-12-22,2.582,2.589,2.483,2.527,6575.171806
2024-12-23,2.525,2.769,2.491,2.757,10421.632344
2024-12-24,2.738,2.79,2.656,2.768,23160.66313
2024-12-25,2.778,2.934,2.735,2.905,40919.559583
2024-12-26,2.914,2.961,2.561,2.607,29971.475136
2024-12-27,2.607,2.819,2.572,2.7,25497.614912
2024-12-28,2.718,2.85,2.714,2.837,31394.874734
2024-12-29,2.837,3.103,2.717,2.767,59927.752379
2024-12-30,2.767,2.816,2.573,2.666,55753.301462
2024-12-31,2.646,2.727,2.55,2.568,7250.42637
2025-01-01,2.59,2.653,2.507,2.653,5340.837505
2025-01-02,2.659,2.711,2.571,2.676,18169.801016
2025-01-03,2.677,2.798,2.625,2.766,26718.151849
2025-01-04,2.784,2.826,2.711,2.783,10200.127183
2025-01-05,2.782,2.788,2.695,2.759,8056.891713
2025-01-06,2.757,2.79,2.697,2.751,18596.966419
2025-01-07,2.752,2.839,2.38,2.386,30117.668586
2025-01-08,2.38,2.411,2.231,2.326,23955.268383
2025-01-09,2.319,2.395,2.221,2.304,12174.859267
2025-01-10,2.304,2.383,2.224,2.301,8517.936253
2025-01-11,2.299,2.325,2.237,2.274,3436.39342
2025-01-12,2.274,2.583,2.233,2.315,131814.414743
2025-01-13,2.296,2.385,2.065,2.204,39330.536855
2025-01-14,2.212,2.337,2.201,2.288,16939.474139
2025-01-15,2.289,2.46,2.221,2.392,18256.126804
2025-01-16,2.402,2.428,2.297,2.357,11108.682924
2025-01-17,2.358,2.461,2.355,2.452,13313.324371
2025-01-18,2.453,2.471,2.214,2.274,15594.501167
2025-01-19,2.271,2.308,1.922,1.972,28710.923832
2025-01-20,1.94,2.119,1.842,1.889,17412.08475
2025-01-21,1.895,2.003,1.82,1.979,7862.476721
2025-01-22,1.985,2.095,1.964,2.037,10085.596089
2025-01-23,2.036,2.106,1.864,1.913,19911.643207
2025-01-24,1.92,1.96,1.838,1.844,13516.914189
2025-01-25,1.841,1.898,1.83,1.88,10849.117358
2025-01-26,1.871,1.973,1.831,1.834,18513.104382
2025-01-27,1.821,1.842,1.67,1.813,13059.015325
2025-01-28,1.822,1.851,1.652,1.686,13547.803829
2025-01-29,1.685,1.799,1.665,1.735,10428.0669
2025-01-30,1.736,1.833,1.728,1.82,6789.687069
2025-01-31,1.817,1.871,1.786,1.829,3447.238227
2025-02-01,1.821,1.868,1.621,1.656,5242.07109
2025-02-02,1.64,1.664,1.357,1.426,13462.243513
2025-02-03,1.428,1.479,1.091,1.431,26879.963654
2025-02-04,1.437,1.521,1.285,1.385,26653.076192
2025-02-05,1.383,1.405,1.287,1.301,11463.640932
2025-02-06,1.309,1.376,1.25,1.255,13025.128859
2025-02-07,1.261,1.368,1.256,1.3,12242.101202
2025-02-08,1.296,1.379,1.274,1.368,5307.181791
2025-02-09,1.362,1.435,1.313,1.381,19482.795163
2025-02-10,1.382,1.462,1.315,1.335,8410.98382
2025-02-11,1.34,1.407,1.3,1.322,21017.852083
2025-02-12,1.314,1.44,1.273,1.406,40700.150295
2025-02-13,1.407,1.424,1.339,1.388,14108.921122
2025-02-14,1.377,1.5,1.376,1.47,19829.419582
2025-02-15,1.464,1.536,1.434,1.436,12951.055688
2025-02-16,1.446,1.693,1.422,1.422,84231.405193
2025-02-17,1.434,1.585,1.39,1.421,30413.048177
2025-02-18,1.424,1.425,1.28,1.363,10771.683464
2025-02-19,1.357,1.383,1.336,1.355,5426.14139
2025-02-20,1.354,1.421,1.354,1.411,5491.841788
2025-02-21,1.413,1.479,1.345,1.366,10288.1327
2025-02-22,1.361,1.427,1.353,1.423,4664.736125
2025-02-23,1.418,1.44,1.385,1.408,7458.379443
2025-02-24,1.419,1.419,1.243,1.25,7830.23272
2025-02-25,1.25,1.277,1.194,1.252,11355.009165
2025-02-26,1.253,1.299,1.203,1.246,12854.455756
2025-02-27,1.252,1.331,1.236,1.275,29756.649544
2025-02-28,1.273,2.801,1.183,1.774,10093391.171558
2025-03-01,1.774,2.25,1.624,1.669,1816117.78587
2025-03-02,1.669,1.889,1.588,1.733,651381.312961
2025-03-03,1.729,2.1,1.628,1.92,626692.544904
2025-03-04,1.918,1.918,1.65,1.719,501435.33388
2025-03-05,1.719,1.877,1.685,1.863,231677.657564
2025-03-06,1.866,1.92,1.76,1.79,136303.477403
2025-03-07,1.79,2.007,1.75,1.889,372807.387986
2025-03-08,1.891,2.349,1.858,2.094,588310.870524
2025-03-09,2.091,2.239,1.973,2.057,310052.682451
2025-03-10,2.055,2.21,1.63,1.766,331827.488844
2025-03-11,1.766,1.865,1.688,1.754,101570.598455
2025-03-12,1.754,2.341,1.745,2.143,175643.160294
2025-03-13,2.143,2.52,1.63,1.86,690926.671254
2025-03-14,1.864,1.921,1.73,1.86,120082.882621
2025-03-15,1.852,1.882,1.758,1.85,84675.148067
2025-03-16,1.842,1.859,1.655,1.669,80744.857089
2025-03-17,1.669,1.691,1.626,1.646,26629.561347
2025-03-18,1.641,1.642,1.395,1.462,135204.171667
2025-03-19,1.461,1.5,1.427,1.435,83396.265419
2025-03-20,1.435,1.438,1.341,1.347,50005.126043
2025-03-21,1.348,1.383,1.266,1.276,36316.703857
2025-03-22,1.277,4.26,1.268,1.8,4311478.138527
2025-03-23,1.8,1.8,1.412,1.507,1395875.456603
2025-03-24,1.507,1.546,1.4,1.441,367818.333138
2025-03-25,1.439,1.46,1.381,1.411,218769.395799
2025-03-26,1.413,1.425,1.292,1.303,130201.433898
2025-03-27,1.3,1.549,1.3,1.373,605364.446192
2025-03-28,1.375,1.387,1.283,1.307,193918.137646
2025-03-29,1.306,1.82,1.251,1.381,1022223.138614
2025-03-30,1.382,1.497,1.311,1.366,446108.397189
2025-03-31,1.367,1.389,1.297,1.342,263550.132189
2025-04-01,1.339,1.394,1.218,1.272,266980.563549
2025-04-02,1.273,1.47,1.164,1.289,603319.147787
2025-04-03,1.29,1.364,1.21,1.25,309110.61917
2025-04-04,1.249,1.27,1.173,1.208,105601.586958
2025-04-05,1.205,1.269,1.173,1.192,104874.871102
2025-04-06,1.192,1.474,1.172,1.385,1116634.774555
2025-04-07,1.385,1.459,1.263,1.374,626256.58426
2025-04-08,1.374,1.4,1.292,1.344,126644.027018
2025-04-09,1.345,1.468,1.284,1.437,194668.652311
2025-04-10,1.435,1.456,1.303,1.311,116816.439789
2025-04-11,1.311,1.482,1.205,1.346,370768.282833
2025-04-12,1.346,1.409,1.309,1.382,134518.58187
2025-04-13,1.382,1.47,1.327,1.337,115895.239825
2025-04-14,1.34,1.383,1.296,1.322,220910.518247
2025-04-15,1.321,1.333,1.286,1.333,56828.210266
2025-04-16,1.33,1.35,1.262,1.318,100254.828894
2025-04-17,1.32,1.349,1.306,1.33,49536.219436
2025-04-18,1.331,1.41,1.318,1.391,66522.703211
2025-04-19,1.391,1.475,1.388,1.457,53542.228637
2025-04-20,1.457,1.581,1.435,1.568,122881.661142
2025-04-21,1.567,1.65,1.353,1.417,196166.458335
2025-04-22,1.418,1.434,1.358,1.428,56312.467264
2025-04-23,1.425,1.461,1.356,1.387,117659.930467
2025-04-24,1.386,1.422,1.362,1.404,45866.579676
2025-04-25,1.405,1.466,1.383,1.445,56742.251089
2025-04-26,1.445,1.52,1.403,1.455,71002.752647
2025-04-27,1.452,1.468,1.356,1.37,61458.296556
2025-04-28,1.374,1.448,1.35,1.419,59511.363224
2025-04-29,1.418,1.446,1.39,1.406,14323.215222
