timestamp,open,high,low,close,volume
2024-07-11,1.941,2.0,1.912,1.917,77950.5384
2024-07-12,1.92,1.929,1.877,1.889,8278.7833
2024-07-13,1.889,3.214,1.886,2.565,1217821.4841
2024-07-14,2.557,2.93,2.2,2.259,493474.3562
2024-07-15,2.259,2.344,2.121,2.177,169710.2082
2024-07-16,2.177,2.246,2.117,2.162,101009.6131
2024-07-17,2.157,2.231,2.103,2.114,43787.6555
2024-07-18,2.114,2.126,2.049,2.067,26336.6392
2024-07-19,2.063,2.107,2.021,2.067,26380.4852
2024-07-20,2.069,2.104,2.041,2.054,9197.5694
2024-07-21,2.067,2.067,1.962,2.048,29385.4944
2024-07-22,2.057,2.191,2.006,2.076,74684.7777
2024-07-23,2.076,2.19,1.977,1.987,56786.4756
2024-07-24,1.988,2.03,1.972,1.978,15944.0335
2024-07-25,1.986,2.005,1.9,1.95,21391.5488
2024-07-26,1.946,1.97,1.921,1.954,6129.0675
2024-07-27,1.957,2.026,1.94,1.979,14797.0424
2024-07-28,1.963,1.986,1.938,1.965,11315.5597
2024-07-29,1.96,2.385,1.945,2.128,356763.5681
2024-07-30,2.123,2.209,2.002,2.013,123663.8077
2024-07-31,2.013,2.158,1.949,2.004,86262.4417
2024-08-01,2.019,2.09,1.934,1.972,34039.8581
2024-08-02,1.968,2.15,1.908,1.908,149156.5924
2024-08-03,1.924,1.991,1.806,1.807,63876.055
2024-08-04,1.821,1.836,1.72,1.776,51839.5111
2024-08-05,1.777,1.857,1.505,1.607,88536.5977
2024-08-06,1.607,1.716,1.605,1.671,16075.4099
2024-08-07,1.684,1.798,1.625,1.64,31900.9257
2024-08-08,1.64,1.747,1.624,1.737,29056.0439
2024-08-09,1.735,1.89,1.727,1.75,39480.0668
2024-08-10,1.743,1.845,1.725,1.77,20420.0813
2024-08-11,1.773,1.834,1.71,1.712,13206.1535
2024-08-12,1.711,1.765,1.695,1.717,11990.0772
2024-08-13,1.72,1.759,1.713,1.747,11471.2762
2024-08-14,1.746,1.851,1.714,1.738,23607.1135
2024-08-15,1.738,1.793,1.65,1.671,30184.3155
2024-08-16,1.662,1.94,1.658,1.686,173647.7146
2024-08-17,1.694,1.75,1.67,1.688,35139.6901
2024-08-18,1.686,1.713,1.669,1.688,18082.1923
2024-08-19,1.7,1.723,1.65,1.691,47665.0136
2024-08-20,1.697,1.715,1.673,1.681,14651.7912
2024-08-21,1.694,1.721,1.67,1.717,15767.9499
2024-08-22,1.717,1.789,1.702,1.73,16089.3716
2024-08-23,1.729,2.62,1.729,2.114,605808.5728
2024-08-24,2.127,2.216,2.0,2.016,158732.3084
2024-08-25,2.016,2.062,1.945,1.985,78046.4595
2024-08-26,1.975,2.088,1.847,1.873,33535.1788
2024-08-27,1.872,1.9,1.801,1.813,25323.1768
2024-08-28,1.814,2.076,1.79,1.842,124196.4301
2024-08-29,1.839,1.952,1.799,1.83,60645.6017
2024-08-30,1.833,1.88,1.778,1.817,33215.5393
2024-08-31,1.821,1.895,1.809,1.827,37093.6775
2024-09-01,1.827,1.871,1.754,1.757,34642.7824
2024-09-02,1.758,1.812,1.758,1.799,5531.9724
2024-09-03,1.795,1.882,1.742,1.764,33329.6613
2024-09-04,1.768,1.839,1.733,1.773,32684.8198
2024-09-05,1.765,1.8,1.714,1.734,16681.0215
2024-09-06,1.731,1.789,1.705,1.711,9398.7202
2024-09-07,1.711,1.757,1.697,1.724,6090.4988
2024-09-08,1.727,1.757,1.711,1.732,3301.0403
2024-09-09,1.731,1.815,1.716,1.795,13806.8687
2024-09-10,1.797,1.802,1.744,1.785,11325.2694
2024-09-11,1.781,1.829,1.755,1.794,20665.9383
