timestamp,open,high,low,close,volume
2024-07-11,1.3693,1.451,1.3306,1.34,585441.215735
2024-07-12,1.3386,1.4024,1.3225,1.3971,605457.392268
2024-07-13,1.3971,1.436,1.3837,1.4166,455320.095846
2024-07-14,1.4165,1.4658,1.4033,1.4602,580356.79447
2024-07-15,1.4596,1.5512,1.447,1.546,957406.525459
2024-07-16,1.5469,1.5744,1.4601,1.5194,933140.295084
2024-07-17,1.5204,1.5776,1.4819,1.4825,775673.041673
2024-07-18,1.4828,1.5287,1.4381,1.4871,600650.372866
2024-07-19,1.487,1.604,1.4588,1.5764,890963.636965
2024-07-20,1.5765,1.6494,1.5633,1.6377,625418.941584
2024-07-21,1.6377,1.6714,1.5413,1.6452,882288.697267
2024-07-22,1.6452,1.6562,1.5285,1.5358,693487.099965
2024-07-23,1.5357,1.5664,1.4253,1.4497,893444.915651
2024-07-24,1.4491,1.535,1.4381,1.4604,830074.583797
2024-07-25,1.4601,1.4674,1.3377,1.4032,1195797.211294
2024-07-26,1.4032,1.5131,1.3967,1.5055,781243.654947
2024-07-27,1.507,1.5705,1.4774,1.5089,623536.177934
2024-07-28,1.508,1.5095,1.4364,1.4523,376957.454913
2024-07-29,1.4525,1.5602,1.4522,1.4701,810917.242851
2024-07-30,1.4706,1.5383,1.3752,1.3959,987831.056991
2024-07-31,1.3957,1.4423,1.3539,1.3657,764188.018124
2024-08-01,1.3658,1.3904,1.25,1.3516,940647.100674
2024-08-02,1.3516,1.3642,1.2362,1.2455,694718.39709
2024-08-03,1.2437,1.2613,1.1696,1.2078,1275086.540514
2024-08-04,1.2074,1.2322,1.0874,1.1377,1270854.908273
2024-08-05,1.1382,1.1535,0.8917,1.0592,4748171.029973
2024-08-06,1.0584,1.1435,1.056,1.1031,1513851.828282
2024-08-07,1.1028,1.1463,1.0488,1.0621,1055488.75937
2024-08-08,1.0634,1.2216,1.0455,1.2169,939106.83757
2024-08-09,1.2162,1.2162,1.1444,1.1788,914988.566357
2024-08-10,1.177,1.1988,1.168,1.189,568276.836046
2024-08-11,1.1887,1.2193,1.1015,1.1104,624549.15256
2024-08-12,1.11,1.2048,1.105,1.1914,671733.581324
2024-08-13,1.1903,1.2348,1.1449,1.2071,775235.858184
2024-08-14,1.2071,1.2277,1.1543,1.1678,808934.790635
2024-08-15,1.1677,1.236,1.1333,1.1589,1345395.638005
2024-08-16,1.1589,1.1986,1.1133,1.1426,1010975.083278
2024-08-17,1.1429,1.1523,1.1334,1.1383,275320.788235
2024-08-18,1.1419,1.1684,1.1256,1.1268,523834.174578
2024-08-19,1.1273,1.1656,1.1059,1.1635,521179.23667
2024-08-20,1.1631,1.1983,1.1407,1.1804,469665.01716
2024-08-21,1.18,1.2669,1.1621,1.2386,515189.997527
2024-08-22,1.239,1.334,1.2287,1.3222,706260.24533
2024-08-23,1.3229,1.43,1.311,1.4118,534980.542569
2024-08-24,1.413,1.4558,1.3837,1.4163,321876.481092
2024-08-25,1.4161,1.4192,1.3454,1.3697,237860.729311
2024-08-26,1.3714,1.4053,1.3192,1.3243,327820.760412
