timestamp,open,high,low,close,volume
2024-07-11,6.036,6.172,5.919,5.938,377982.294365
2024-07-12,5.939,6.154,5.867,6.154,303928.569046
2024-07-13,6.153,6.269,6.121,6.208,200763.307418
2024-07-14,6.209,6.268,6.096,6.232,308760.13769
2024-07-15,6.23,6.511,6.22,6.504,463766.104034
2024-07-16,6.503,6.649,6.257,6.613,567120.313749
2024-07-17,6.612,6.802,6.477,6.481,408285.050832
2024-07-18,6.49,6.581,6.239,6.31,507570.673715
2024-07-19,6.314,6.556,6.187,6.502,492301.750266
2024-07-20,6.503,6.588,6.432,6.525,234740.01689
2024-07-21,6.526,6.552,6.217,6.535,318571.188593
2024-07-22,6.539,6.58,6.239,6.268,386574.011725
2024-07-23,6.268,6.33,6.068,6.174,430474.03275
2024-07-24,6.169,6.302,5.985,6.028,263594.551476
2024-07-25,6.025,6.047,5.696,5.922,565072.054013
2024-07-26,5.924,6.192,5.913,6.168,543890.534674
2024-07-27,6.17,6.386,6.13,6.345,495414.312685
2024-07-28,6.346,6.394,6.183,6.22,263941.723833
2024-07-29,6.221,6.374,6.101,6.115,682496.876324
2024-07-30,6.108,6.197,5.945,6.005,443967.658216
2024-07-31,6.007,6.085,5.78,5.808,311281.385784
2024-08-01,5.807,5.874,5.485,5.779,592372.163968
2024-08-02,5.777,5.808,5.221,5.359,1301275.158374
2024-08-03,5.359,5.415,5.008,5.124,841634.35957
2024-08-04,5.127,5.215,4.809,5.049,814225.828849
2024-08-05,5.048,5.099,4.034,4.641,3003955.688016
2024-08-06,4.641,4.976,4.636,4.906,529999.324918
2024-08-07,4.904,5.053,4.733,4.835,527217.727011
2024-08-08,4.841,5.182,4.743,5.151,886353.175345
2024-08-09,5.146,5.149,4.94,5.083,376117.052241
2024-08-10,5.084,5.25,5.017,5.205,306677.136894
2024-08-11,5.204,5.243,4.863,4.898,437647.826631
2024-08-12,4.899,5.152,4.897,5.076,397367.251599
2024-08-13,5.077,5.086,4.892,5.008,275026.84328
2024-08-14,5.004,5.009,4.725,4.772,628985.333966
2024-08-15,4.771,4.809,4.469,4.51,1065375.947731
2024-08-16,4.512,4.611,4.43,4.555,404717.656433
2024-08-17,4.553,4.669,4.524,4.612,219232.595456
2024-08-18,4.612,4.714,4.558,4.568,208312.628268
2024-08-19,4.565,4.64,4.508,4.635,327988.406656
2024-08-20,4.637,4.837,4.622,4.788,727553.194897
2024-08-21,4.788,4.823,4.617,4.748,507607.394182
2024-08-22,4.75,4.796,4.654,4.692,329312.595628
2024-08-23,4.695,5.142,4.692,5.097,538776.944095
2024-08-24,5.097,5.442,5.078,5.345,553976.673446
2024-08-25,5.349,5.349,5.003,5.07,1450122.601331
2024-08-26,5.068,5.116,4.87,4.897,526581.23328
2024-08-27,4.889,5.031,4.5,4.591,822598.543307
2024-08-28,4.591,4.788,4.446,4.599,540728.813752
2024-08-29,4.601,4.74,4.52,4.608,271641.417075
2024-08-30,4.607,4.675,4.448,4.647,320077.874152
2024-08-31,4.645,4.7,4.51,4.56,243954.177554
2024-09-01,4.557,4.564,4.263,4.301,340655.080646
2024-09-02,4.301,4.48,4.284,4.436,264046.933818
2024-09-03,4.436,4.508,4.101,4.111,644191.982179
2024-09-04,4.109,4.14,3.891,4.075,1290449.231847
2024-09-05,4.071,4.101,3.86,3.909,731532.506401
2024-09-06,3.908,3.975,3.615,3.716,1609181.318651
2024-09-07,3.716,3.779,3.637,3.668,1027190.827651
2024-09-08,3.671,3.836,3.658,3.808,1004866.414752
2024-09-09,3.808,4.109,3.807,4.09,1126469.985102
2024-09-10,4.091,4.173,4.039,4.134,695861.526814
2024-09-11,4.132,4.211,4.014,4.165,762761.711595
2024-09-12,4.16,4.188,4.058,4.146,475767.015717
2024-09-13,4.144,4.26,4.121,4.208,477303.770134
2024-09-14,4.208,4.25,4.144,4.243,334722.572947
2024-09-15,4.242,4.254,4.024,4.059,364426.940544
2024-09-16,4.059,4.064,3.917,3.971,523230.899241
2024-09-17,3.971,4.24,3.941,4.193,609016.554166
2024-09-18,4.19,4.376,4.1,4.375,953731.958085
2024-09-19,4.374,4.616,4.373,4.508,488111.718587
2024-09-20,4.506,4.592,4.436,4.524,746605.649663
2024-09-21,4.525,4.731,4.461,4.721,356340.870317
2024-09-22,4.72,4.725,4.483,4.601,474577.096242
2024-09-23,4.595,4.71,4.505,4.581,562765.002511
2024-09-24,4.579,4.855,4.495,4.818,861383.730196
2024-09-25,4.818,4.972,4.741,4.78,1032765.607448
2024-09-26,4.779,5.096,4.695,5.007,910070.240625
2024-09-27,5.006,5.193,5.001,5.141,627884.220805
2024-09-28,5.141,5.164,4.931,5.016,495169.041204
2024-09-29,5.019,5.133,4.951,5.029,463356.618751
2024-09-30,5.028,5.061,4.681,4.726,741207.81903
2024-10-01,4.727,4.904,4.245,4.442,980660.481689
2024-10-02,4.439,4.582,4.345,4.434,657471.209947
2024-10-03,4.434,4.503,4.226,4.383,956695.442798
2024-10-04,4.383,4.629,4.359,4.619,882813.938595
2024-10-05,4.619,4.713,4.563,4.632,322331.61178
2024-10-06,4.63,4.652,4.551,4.647,288331.13825
2024-10-07,4.651,4.804,4.412,4.423,971995.286523
2024-10-08,4.422,4.469,4.31,4.35,728517.420152
2024-10-09,4.351,4.391,4.166,4.231,562044.927556
2024-10-10,4.231,4.295,4.042,4.133,831105.504469
2024-10-11,4.134,4.299,4.112,4.279,374479.988496
2024-10-12,4.278,4.392,4.27,4.35,266777.603212
2024-10-13,4.347,4.368,4.216,4.344,352477.730183
2024-10-14,4.343,4.533,4.296,4.516,577045.814219
2024-10-15,4.516,4.589,4.367,4.488,721526.338324
2024-10-16,4.485,4.518,4.387,4.439,402406.04743
2024-10-17,4.437,4.469,4.235,4.305,454374.646822
2024-10-18,4.305,4.398,4.287,4.353,462813.675028
2024-10-19,4.353,4.49,4.349,4.469,292896.533736
2024-10-20,4.467,4.695,4.393,4.694,714083.063328
2024-10-21,4.695,5.125,4.686,4.901,1589962.442789
2024-10-22,4.897,4.97,4.705,4.786,847078.581665
2024-10-23,4.786,4.857,4.556,4.62,660072.134626
2024-10-24,4.618,4.857,4.566,4.85,393630.671968
2024-10-25,4.85,4.859,4.255,4.419,959876.884842
2024-10-26,4.415,4.512,4.304,4.373,532739.555024
2024-10-27,4.373,4.472,4.322,4.455,301466.889135
2024-10-28,4.455,4.511,4.265,4.462,688603.992661
2024-10-29,4.459,4.608,4.432,4.538,1089789.414034
2024-10-30,4.536,4.537,4.374,4.457,955407.92764
2024-10-31,4.457,4.472,4.18,4.237,1026473.938743
2024-11-01,4.237,4.31,4.105,4.175,598994.721577
2024-11-02,4.175,4.22,4.048,4.103,268892.392271
2024-11-03,4.102,4.12,3.873,3.979,616722.661054
2024-11-04,3.978,4.025,3.83,3.917,646930.440183
2024-11-05,3.916,4.217,3.911,4.203,488113.508896
2024-11-06,4.201,4.547,4.201,4.515,1252919.765355
2024-11-07,4.513,4.657,4.461,4.529,844662.155703
2024-11-08,4.533,4.72,4.459,4.718,716385.429882
2024-11-09,4.718,4.842,4.628,4.793,872376.249536
2024-11-10,4.795,5.54,4.713,5.267,1924242.442638
2024-11-11,5.269,5.683,5.154,5.662,1300211.685854
2024-11-12,5.659,5.834,5.115,5.311,1887379.267993
2024-11-13,5.307,5.363,4.834,5.122,1952737.748101
2024-11-14,5.122,5.307,4.866,4.953,1062391.175424
2024-11-15,4.954,5.302,4.825,5.261,1393378.201173
2024-11-16,5.263,6.215,5.244,6.123,1386139.679533
2024-11-17,6.126,6.662,5.575,5.691,2580466.903796
2024-11-18,5.693,6.6,5.665,6.467,2160113.98395
2024-11-19,6.464,6.839,6.133,6.262,2338385.092548
2024-11-20,6.263,6.639,6.071,6.195,1519971.13701
2024-11-21,6.199,6.504,5.996,6.42,1828382.990849
2024-11-22,6.42,7.622,6.329,7.552,3698210.574089
2024-11-23,7.552,8.85,7.433,8.225,4665473.475451
2024-11-24,8.227,9.577,8.061,8.758,5305097.550704
2024-11-25,8.759,8.839,7.774,7.923,2225320.364072
2024-11-26,7.921,8.141,7.5,8.01,1817686.360729
2024-11-27,8.011,8.39,7.79,8.321,1320488.444593
2024-11-28,8.324,8.4,7.877,8.22,917269.119705
2024-11-29,8.222,8.803,8.052,8.772,978803.231879
2024-11-30,8.772,8.85,8.401,8.57,1052145.150431
2024-12-01,8.572,9.05,8.299,8.902,956039.413265
2024-12-02,8.905,9.576,8.335,9.568,2486150.201922
2024-12-03,9.566,10.037,8.874,9.575,2614807.573054
2024-12-04,9.578,10.678,9.441,9.932,2232272.963774
2024-12-05,9.934,10.078,9.309,9.571,2462811.615977
2024-12-06,9.576,10.59,9.489,10.395,1761770.306672
2024-12-07,10.395,10.569,10.009,10.172,976172.949514
2024-12-08,10.175,10.438,9.834,10.124,1062545.057417
2024-12-09,10.127,10.131,7.377,8.394,2385625.217865
2024-12-10,8.395,8.547,7.25,7.941,3033844.668119
2024-12-11,7.943,8.927,7.594,8.824,1322894.999689
2024-12-12,8.825,9.294,8.608,8.951,1879164.680799
2024-12-13,8.951,9.281,8.728,9.206,1455923.117965
2024-12-14,9.204,9.351,8.652,8.971,1252537.883604
2024-12-15,8.974,9.312,8.685,9.113,1388114.666642
2024-12-16,9.114,9.308,8.627,8.889,1351820.316082
2024-12-17,8.889,8.987,8.387,8.547,1397952.343802
2024-12-18,8.547,8.673,7.584,7.657,2465884.215371
2024-12-19,7.652,7.708,6.614,6.814,2181558.961086
2024-12-20,6.819,7.1,5.831,6.914,2242144.858862
2024-12-21,6.911,7.35,6.435,6.525,1435328.698705
2024-12-22,6.527,6.739,6.251,6.404,1076184.575718
2024-12-23,6.404,7.091,6.234,6.956,1119032.741125
2024-12-24,6.954,7.196,6.716,7.047,712522.663716
2024-12-25,7.042,7.119,6.83,6.946,498824.707706
2024-12-26,6.943,7.019,6.421,6.486,666320.837663
2024-12-27,6.484,6.803,6.411,6.469,677432.243975
2024-12-28,6.47,6.679,6.389,6.614,523264.226795
2024-12-29,6.618,6.661,6.234,6.295,434387.776493
2024-12-30,6.292,6.567,6.118,6.352,650629.165565
2024-12-31,6.348,6.52,6.17,6.195,655195.743375
