timestamp,open,high,low,close,volume
2024-07-11,1.1101,1.1299,1.08,1.0989,4292944.11
2024-07-12,1.0991,1.1134,1.0459,1.0929,3750839.56
2024-07-13,1.0929,1.123,1.0833,1.0938,3043103.26
2024-07-14,1.0936,1.25,1.092,1.2011,7022173.33
2024-07-15,1.201,1.2497,1.1651,1.2392,7133814.91
2024-07-16,1.2407,1.464,1.2173,1.4137,24196438.58
2024-07-17,1.4137,1.4859,1.3809,1.4005,12120551.13
2024-07-18,1.4013,1.4799,1.39,1.43,8419545.83
2024-07-19,1.4306,1.46,1.3439,1.4215,6989978.71
2024-07-20,1.4218,1.4389,1.39,1.4249,4788665.82
2024-07-21,1.4249,1.67,1.4215,1.6183,22390877.82
2024-07-22,1.6173,1.6521,1.5505,1.5954,8641525.95
2024-07-23,1.5958,1.617,1.4263,1.4452,6885918.01
2024-07-24,1.445,1.4565,1.3573,1.367,6279597.98
2024-07-25,1.367,1.3918,1.2536,1.3171,9096196.57
2024-07-26,1.3176,1.3926,1.315,1.3724,5460767.9
2024-07-27,1.372,1.4464,1.3437,1.3771,5887531.29
2024-07-28,1.376,1.378,1.3018,1.3271,3278341.77
2024-07-29,1.3271,1.3915,1.2915,1.3164,4417272.39
2024-07-30,1.3175,1.3388,1.25,1.2881,2839097.67
2024-07-31,1.288,1.3115,1.2198,1.2231,3314944.68
2024-08-01,1.2229,1.2327,1.118,1.226,6126774.27
2024-08-02,1.2257,1.2432,1.1354,1.1539,5091532.54
2024-08-03,1.1545,1.1643,1.0329,1.0658,5593199.17
2024-08-04,1.0666,1.0841,0.98,1.052,5999798.64
2024-08-05,1.052,1.0566,0.8143,0.9136,23571528.4
2024-08-06,0.9136,1.0658,0.91,1.0129,10598109.85
2024-08-07,1.012,1.0475,0.9468,0.9635,6945884.56
2024-08-08,0.9636,1.0888,0.9409,1.0751,7794590.39
2024-08-09,1.0753,1.0775,1.0321,1.0635,4808931.56
2024-08-10,1.0636,1.0995,1.0513,1.0807,3184555.56
2024-08-11,1.0809,1.0968,0.9755,0.9909,5278889.06
2024-08-12,0.9909,1.052,0.9829,1.0406,5188059.97
2024-08-13,1.041,1.051,1.0073,1.0361,3212587.09
