timestamp,open,high,low,close,volume
2024-07-11,2.94,3.173,2.911,3.031,38535.270827
2024-07-12,3.034,3.118,2.942,3.118,12486.403546
2024-07-13,3.118,3.185,3.087,3.174,8653.007992
2024-07-14,3.172,3.232,3.163,3.226,11921.672264
2024-07-15,3.227,3.389,3.227,3.387,12544.838919
2024-07-16,3.396,3.447,3.207,3.434,15359.445216
2024-07-17,3.438,3.526,3.342,3.423,12894.986742
2024-07-18,3.447,3.55,3.216,3.268,21578.856108
2024-07-19,3.252,3.52,3.193,3.517,28326.539436
2024-07-20,3.516,3.53,3.46,3.523,7930.710599
2024-07-21,3.505,3.511,3.259,3.486,7610.856926
2024-07-22,3.485,3.5,3.344,3.35,10960.139215
2024-07-23,3.347,3.425,3.266,3.31,4932.574599
2024-07-24,3.318,3.38,3.128,3.148,7362.996386
2024-07-25,3.148,3.176,3.02,3.17,21729.742634
2024-07-26,3.157,3.34,3.157,3.316,13853.28102
2024-07-27,3.324,3.397,3.281,3.372,8221.223511
2024-07-28,3.355,3.373,3.284,3.35,13435.959099
2024-07-29,3.369,3.475,3.325,3.367,3427.80344
2024-07-30,3.371,3.451,3.225,3.255,5234.712413
2024-07-31,3.234,3.331,3.16,3.16,10189.864569
2024-08-01,3.146,3.202,2.885,3.052,19756.044559
2024-08-02,3.069,3.083,2.827,2.871,16433.639858
2024-08-03,2.874,2.932,2.712,2.736,7538.949091
2024-08-04,2.75,2.84,2.581,2.676,20265.006752
2024-08-05,2.679,2.689,2.224,2.516,50835.950075
2024-08-06,2.523,2.657,2.523,2.58,11811.845996
2024-08-07,2.575,2.65,2.497,2.539,27160.138505
2024-08-08,2.544,2.818,2.53,2.818,8816.391943
2024-08-09,2.815,2.819,2.714,2.754,5184.370527
2024-08-10,2.756,2.821,2.73,2.795,2337.430644
2024-08-11,2.794,2.864,2.691,2.725,8250.506471
2024-08-12,2.73,2.825,2.69,2.796,4891.698427
2024-08-13,2.784,2.793,2.647,2.714,10654.793745
2024-08-14,2.72,2.758,2.66,2.695,5499.259221
2024-08-15,2.689,2.717,2.52,2.56,4854.711042
2024-08-16,2.539,2.647,2.539,2.622,5277.36242
2024-08-17,2.63,2.686,2.602,2.675,3909.271312
2024-08-18,2.682,2.848,2.654,2.763,18488.442085
2024-08-19,2.766,2.983,2.732,2.968,71980.403459
2024-08-20,2.971,3.048,2.832,2.919,87022.155305
2024-08-21,2.928,3.059,2.874,3.026,24071.159065
2024-08-22,3.03,3.059,2.941,3.048,11975.564831
2024-08-23,3.058,3.217,3.058,3.181,15416.808864
2024-08-24,3.181,3.25,3.168,3.216,8048.192248
2024-08-25,3.212,3.223,3.12,3.186,8181.016293
2024-08-26,3.194,3.205,2.99,3.001,36277.19902
2024-08-27,2.988,3.076,2.783,2.818,15005.527762
2024-08-28,2.812,2.855,2.711,2.766,58020.58769
2024-08-29,2.764,2.881,2.76,2.799,8973.463456
2024-08-30,2.801,2.826,2.662,2.79,2859.137551
2024-08-31,2.785,2.795,2.706,2.734,4952.001334
2024-09-01,2.731,2.758,2.649,2.667,4870.723031
2024-09-02,2.669,2.815,2.642,2.811,4883.957398
2024-09-03,2.824,2.868,2.714,2.722,13827.266281
2024-09-04,2.726,2.783,2.604,2.742,31444.08675
2024-09-05,2.73,2.755,2.668,2.687,3976.840618
2024-09-06,2.693,2.77,2.549,2.62,8457.611778
2024-09-07,2.612,2.728,2.61,2.684,2534.745425
2024-09-08,2.684,2.771,2.658,2.768,3734.208915
2024-09-09,2.766,2.914,2.752,2.893,23607.757541
2024-09-10,2.893,2.978,2.864,2.962,18050.648627
2024-09-11,2.978,2.978,2.838,2.907,7408.765655
2024-09-12,2.906,2.996,2.906,2.996,4141.64655
2024-09-13,2.998,3.081,2.95,3.049,11182.105301
2024-09-14,3.042,3.071,3.0,3.061,6531.098158
2024-09-15,3.061,3.087,2.898,2.929,5760.321267
2024-09-16,2.923,2.968,2.81,2.818,15648.705748
2024-09-17,2.817,2.92,2.788,2.899,28470.012868
