timestamp,open,high,low,close,volume
2024-07-11,2.403,2.515,2.345,2.378,92023.5125
2024-07-12,2.377,2.399,2.304,2.378,55725.0528
2024-07-13,2.379,2.427,2.335,2.353,25289.4579
2024-07-14,2.352,2.414,2.257,2.343,57145.4967
2024-07-15,2.343,2.609,2.335,2.606,188101.5827
2024-07-16,2.607,2.611,2.399,2.456,195611.3878
2024-07-17,2.459,2.666,2.459,2.545,283855.1236
2024-07-18,2.552,2.624,2.444,2.515,148309.9432
2024-07-19,2.518,2.611,2.416,2.6,112506.4028
2024-07-20,2.601,2.638,2.537,2.596,104973.4879
2024-07-21,2.596,2.601,2.428,2.56,84392.0691
2024-07-22,2.571,2.677,2.398,2.429,184397.5467
2024-07-23,2.429,2.472,2.278,2.312,95789.1769
2024-07-24,2.3,2.34,2.208,2.235,84127.7861
2024-07-25,2.232,2.235,2.085,2.153,151164.2803
2024-07-26,2.15,2.297,2.15,2.296,88908.8841
2024-07-27,2.292,2.326,2.22,2.279,37484.2486
2024-07-28,2.269,2.383,2.251,2.273,130145.3823
2024-07-29,2.272,2.386,2.253,2.276,65471.6699
2024-07-30,2.281,2.327,2.235,2.294,33788.6669
2024-07-31,2.294,2.361,2.206,2.211,94786.8557
2024-08-01,2.211,2.452,2.119,2.437,207696.6804
2024-08-02,2.439,2.494,2.312,2.334,207746.103
2024-08-03,2.331,2.488,2.019,2.036,447564.772
2024-08-04,2.035,2.202,1.845,2.013,270747.9947
2024-08-05,2.024,2.03,1.5,1.682,589350.9732
2024-08-06,1.677,1.838,1.675,1.808,113702.3637
2024-08-07,1.809,1.847,1.705,1.731,134937.766
2024-08-08,1.731,1.925,1.7,1.914,36585.2785
2024-08-09,1.914,1.937,1.859,1.919,44359.0048
2024-08-10,1.916,1.941,1.878,1.922,32241.0837
2024-08-11,1.919,1.982,1.811,1.82,33330.2462
2024-08-12,1.819,1.93,1.813,1.926,69324.3016
2024-08-13,1.921,1.93,1.836,1.866,32165.5438
2024-08-14,1.868,1.88,1.763,1.802,39671.5124
2024-08-15,1.796,1.867,1.741,1.761,50785.4314
2024-08-16,1.755,1.867,1.729,1.823,77373.0138
2024-08-17,1.821,1.905,1.797,1.905,28044.9693
2024-08-18,1.904,2.069,1.898,1.983,57530.2024
2024-08-19,1.979,2.0,1.915,1.992,20466.1828
2024-08-20,1.991,2.014,1.872,1.92,16552.0881
2024-08-21,1.923,2.254,1.905,2.246,109742.8378
2024-08-22,2.248,2.339,2.235,2.258,142040.3728
2024-08-23,2.265,2.338,2.227,2.32,35884.7984
2024-08-24,2.322,2.427,2.238,2.289,147725.8821
2024-08-25,2.29,2.292,2.153,2.176,32386.8547
2024-08-26,2.184,2.2,2.055,2.078,29188.8022
2024-08-27,2.087,2.135,1.957,2.016,27798.1561
2024-08-28,2.014,2.029,1.901,1.926,20773.361
2024-08-29,1.926,1.996,1.904,1.941,11888.3413
2024-08-30,1.941,1.95,1.829,1.91,27974.671
2024-08-31,1.919,1.933,1.867,1.876,12024.4409
2024-09-01,1.869,1.89,1.763,1.782,22117.1214
2024-09-02,1.779,1.939,1.778,1.933,12363.6038
2024-09-03,1.93,1.943,1.763,1.769,27087.4194
2024-09-04,1.775,1.858,1.693,1.825,28800.8753
2024-09-05,1.819,1.84,1.75,1.763,18650.154
2024-09-06,1.77,1.806,1.65,1.701,37178.4606
2024-09-07,1.697,1.749,1.689,1.733,32617.637
2024-09-08,1.733,1.859,1.726,1.832,41172.1908
2024-09-09,1.84,1.892,1.814,1.866,79320.7319
2024-09-10,1.871,1.925,1.862,1.917,72095.65
2024-09-11,1.915,1.915,1.826,1.893,28844.3932
2024-09-12,1.89,1.958,1.89,1.956,30692.2217
2024-09-13,1.952,1.955,1.911,1.932,14309.5832
2024-09-14,1.935,1.939,1.877,1.889,15609.9734
2024-09-15,1.89,1.925,1.818,1.828,30662.3024
2024-09-16,1.826,1.851,1.764,1.782,59607.1502
2024-09-17,1.781,1.864,1.756,1.825,54588.5051
2024-09-18,1.826,1.86,1.72,1.86,44687.5388
2024-09-19,1.859,1.986,1.859,1.986,89388.0144
2024-09-20,1.987,2.019,1.923,1.976,43021.3857
2024-09-21,1.977,2.023,1.929,2.023,59075.2553
2024-09-22,2.024,2.029,1.893,1.939,22178.6837
2024-09-23,1.936,2.001,1.898,1.967,14503.0986
2024-09-24,1.966,2.042,1.921,2.032,22082.1088
2024-09-25,2.028,2.068,1.942,1.956,37915.7815
2024-09-26,1.953,2.104,1.932,2.073,29302.8659
2024-09-27,2.068,2.286,2.04,2.255,79897.2529
2024-09-28,2.248,2.45,2.246,2.355,123742.3421
2024-09-29,2.347,2.36,2.237,2.27,39076.3892
2024-09-30,2.271,2.298,2.151,2.176,55840.324
2024-10-01,2.177,2.343,2.021,2.055,63063.1708
2024-10-02,2.054,2.165,1.937,1.987,96341.8987
2024-10-03,1.979,2.015,1.88,1.917,18683.5843
2024-10-04,1.916,2.003,1.893,2.002,23753.8824
2024-10-05,2.003,2.004,1.935,1.974,14081.5966
2024-10-06,1.97,2.043,1.964,2.033,27144.7105
2024-10-07,2.034,2.118,2.018,2.06,56504.2172
2024-10-08,2.06,2.105,1.99,2.019,31432.5986
2024-10-09,2.02,2.06,1.944,1.972,53566.7572
2024-10-10,1.969,2.001,1.911,1.963,37953.6054
2024-10-11,1.963,2.062,1.96,2.055,25346.4422
2024-10-12,2.056,2.174,2.051,2.138,51407.2764
2024-10-13,2.139,2.166,2.05,2.106,27447.7861
2024-10-14,2.109,2.194,2.082,2.175,22747.2697
2024-10-15,2.173,2.182,2.037,2.13,25285.8316
2024-10-16,2.129,2.131,1.987,2.003,33908.5308
2024-10-17,1.997,2.014,1.877,1.939,42677.7646
2024-10-18,1.94,1.991,1.928,1.969,39478.4389
2024-10-19,1.967,1.991,1.934,1.977,17376.026
2024-10-20,1.974,2.139,1.95,2.138,71727.6152
2024-10-21,2.133,2.33,2.131,2.161,167252.7705
2024-10-22,2.162,2.179,2.042,2.071,31596.8439
2024-10-23,2.068,2.078,1.951,2.018,105644.2011
2024-10-24,2.013,2.047,1.975,2.011,29586.7071
2024-10-25,2.012,2.014,1.8,1.872,66457.5714
2024-10-26,1.87,1.893,1.82,1.867,51842.4254
2024-10-27,1.866,1.906,1.848,1.906,14412.3916
2024-10-28,1.906,1.912,1.829,1.902,45362.1715
2024-10-29,1.902,1.99,1.902,1.986,138037.6187
2024-10-30,1.987,1.993,1.941,1.945,82304.154
2024-10-31,1.941,1.943,1.845,1.868,36128.0039
2024-11-01,1.865,1.879,1.798,1.819,110589.1603
2024-11-02,1.819,1.843,1.773,1.781,38726.2031
2024-11-03,1.785,1.788,1.633,1.673,108923.0298
2024-11-04,1.672,1.699,1.602,1.637,103530.8161
2024-11-05,1.636,1.693,1.631,1.666,105573.6768
2024-11-06,1.667,1.951,1.666,1.915,98774.4465
2024-11-07,1.915,2.085,1.909,2.053,94026.6553
2024-11-08,2.055,2.198,2.055,2.115,186104.5577
2024-11-09,2.117,2.226,2.078,2.175,96637.9431
2024-11-10,2.181,2.315,2.112,2.216,204802.4959
2024-11-11,2.222,2.338,2.157,2.33,174187.1993
2024-11-12,2.328,2.419,2.11,2.17,159580.4036
2024-11-13,2.17,2.195,1.999,2.095,158603.9067
2024-11-14,2.095,2.188,2.057,2.131,127234.3766
2024-11-15,2.13,2.219,2.04,2.218,49274.0373
2024-11-16,2.216,2.327,2.189,2.301,206280.5093
2024-11-17,2.308,2.329,2.19,2.234,120382.0082
2024-11-18,2.236,2.552,2.224,2.523,179251.8523
2024-11-19,2.523,2.523,2.33,2.386,153653.2758
2024-11-20,2.388,2.39,2.25,2.276,96984.016
2024-11-21,2.276,2.474,2.212,2.411,85593.8283
2024-11-22,2.41,2.489,2.343,2.489,151426.2859
2024-11-23,2.489,2.703,2.456,2.633,208916.8274
2024-11-24,2.633,2.892,2.55,2.89,116308.4239
2024-11-25,2.887,3.179,2.772,3.005,263465.2692
2024-11-26,3.008,3.107,2.739,3.061,169412.4671
2024-11-27,3.038,3.286,3.008,3.244,98312.7302
2024-11-28,3.24,3.251,3.018,3.152,100087.4486
2024-11-29,3.15,3.151,3.003,3.089,147092.1043
2024-11-30,3.081,3.385,3.041,3.349,86122.7792
2024-12-01,3.334,3.83,3.282,3.722,214148.606
2024-12-02,3.722,3.838,3.326,3.514,264367.3487
2024-12-03,3.517,3.992,3.49,3.947,306710.053
2024-12-04,3.946,4.969,3.924,4.749,828975.6251
2024-12-05,4.763,5.085,4.498,4.543,329210.2226
2024-12-06,4.543,5.098,4.435,4.646,256094.7133
2024-12-07,4.658,4.83,4.491,4.515,179451.3428
2024-12-08,4.518,4.599,4.376,4.577,142915.3015
2024-12-09,4.579,4.584,3.08,3.661,342846.694
2024-12-10,3.647,3.821,3.275,3.582,200483.2492
2024-12-11,3.582,3.921,3.429,3.816,177072.0141
2024-12-12,3.816,4.108,3.762,3.895,163599.0414
2024-12-13,3.897,3.968,3.652,3.716,71626.9837
2024-12-14,3.716,3.735,3.355,3.473,86410.153
2024-12-15,3.47,3.544,3.362,3.526,70364.8722
2024-12-16,3.53,3.621,3.322,3.413,66579.1195
2024-12-17,3.417,3.434,3.154,3.188,77005.6485
2024-12-18,3.2,3.209,2.801,2.923,253046.6763
2024-12-19,2.922,2.963,2.576,2.665,190666.1114
2024-12-20,2.666,2.723,2.231,2.639,256006.964
2024-12-21,2.636,2.866,2.47,2.516,88285.0257
2024-12-22,2.507,2.582,2.403,2.542,74616.1604
2024-12-23,2.543,3.62,2.487,3.233,2705710.7994
2024-12-24,3.231,4.335,3.113,4.021,1717600.7541
2024-12-25,4.022,4.38,3.877,4.061,1990813.6785
2024-12-26,4.067,4.078,3.6,3.851,575236.7155
2024-12-27,3.851,4.206,3.816,3.976,888664.7461
2024-12-28,3.978,4.355,3.676,4.102,1183067.3296
2024-12-29,4.104,4.138,3.755,3.876,356771.3891
2024-12-30,3.875,3.959,3.605,3.683,379365.7933
2024-12-31,3.678,3.678,3.453,3.514,279074.1859
2025-01-01,3.509,3.627,3.443,3.626,115456.4305
2025-01-02,3.618,4.071,3.586,3.915,355637.4546
2025-01-03,3.918,3.945,3.717,3.907,124701.9115
2025-01-04,3.904,4.167,3.781,3.796,204065.3566
2025-01-05,3.794,3.903,3.742,3.813,126082.0913
2025-01-06,3.813,4.092,3.727,4.004,140703.6648
2025-01-07,4.001,4.05,3.347,3.347,156210.0189
2025-01-08,3.352,3.417,3.115,3.26,139323.8181
2025-01-09,3.259,3.337,3.098,3.182,52748.0042
2025-01-10,3.184,3.3,3.141,3.253,54684.3112
2025-01-11,3.257,3.272,3.149,3.185,26873.7729
2025-01-12,3.184,3.234,3.081,3.119,21958.3628
2025-01-13,3.115,3.323,2.971,3.296,152844.0859
2025-01-14,3.302,3.44,3.25,3.375,133270.1276
2025-01-15,3.382,3.493,3.26,3.445,117078.8046
2025-01-16,3.444,3.462,3.264,3.325,74257.2126
2025-01-17,3.323,3.73,3.323,3.655,92587.2318
