timestamp,open,high,low,close,volume
2024-07-11,1.2568,1.3286,1.2182,1.2296,1414328.104286
2024-07-12,1.2272,1.3005,1.2064,1.2962,520506.989449
2024-07-13,1.297,1.3822,1.2865,1.3396,1101690.234343
2024-07-14,1.3391,1.4537,1.3246,1.4383,1054089.245727
2024-07-15,1.4409,1.5253,1.435,1.515,1613405.289808
2024-07-16,1.5169,1.5274,1.4221,1.4895,1616549.135445
2024-07-17,1.4911,1.6486,1.4902,1.5778,2247608.886912
2024-07-18,1.5795,1.616,1.49,1.5198,655087.8637
2024-07-19,1.5209,1.6278,1.4602,1.6189,696953.861439
2024-07-20,1.6206,1.6586,1.5736,1.641,517449.834519
2024-07-21,1.6399,1.7069,1.5716,1.6738,769304.91121
2024-07-22,1.674,1.6779,1.5388,1.5499,670956.441529
2024-07-23,1.5519,1.6032,1.5006,1.5295,783045.293609
2024-07-24,1.5303,1.5895,1.4668,1.482,411997.354805
2024-07-25,1.4837,1.4856,1.3916,1.4607,765180.310211
2024-07-26,1.4561,1.5444,1.4515,1.5401,538240.799812
2024-07-27,1.5401,1.5892,1.4549,1.4904,681993.283381
2024-07-28,1.4914,1.5091,1.4239,1.439,324249.223049
2024-07-29,1.4388,1.5988,1.4346,1.4949,819815.282203
2024-07-30,1.4948,1.5173,1.401,1.4195,421866.062971
2024-07-31,1.4203,1.4762,1.3851,1.3953,402419.353883
2024-08-01,1.3952,1.4061,1.2734,1.3757,497924.563421
2024-08-02,1.3762,1.3868,1.2656,1.2788,512562.949571
2024-08-03,1.2761,1.2915,1.1742,1.2031,572247.092657
2024-08-04,1.2045,1.2181,1.0815,1.1021,831104.809513
2024-08-05,1.1007,1.1157,0.9064,1.0442,4324226.848982
2024-08-06,1.0439,1.1696,1.041,1.1417,1446950.181177
2024-08-07,1.1409,1.1857,1.0672,1.088,1303852.893341
2024-08-08,1.0894,1.2404,1.0683,1.2311,1226325.064588
2024-08-09,1.2316,1.2445,1.1726,1.195,634470.301298
2024-08-10,1.1947,1.2156,1.1739,1.1918,514449.188661
2024-08-11,1.1917,1.225,1.0916,1.0928,778641.946628
2024-08-12,1.0923,1.1821,1.0923,1.1591,820177.835812
2024-08-13,1.1592,1.2634,1.1242,1.26,1616970.738944
2024-08-14,1.2599,1.2662,1.1759,1.1826,1060423.784902
2024-08-15,1.1821,1.2152,1.1155,1.1341,1036786.039011
2024-08-16,1.1343,1.1534,1.0917,1.1196,884075.650243
2024-08-17,1.1189,1.1325,1.1071,1.123,295549.148622
2024-08-18,1.1232,1.1672,1.1044,1.1063,559587.547143
2024-08-19,1.1081,1.1455,1.0785,1.1447,444837.607209
2024-08-20,1.1441,1.1944,1.1127,1.162,761380.180032
2024-08-21,1.1602,1.212,1.1488,1.2102,419037.151222
2024-08-22,1.212,1.3395,1.1973,1.3011,957705.255868
2024-08-23,1.3014,1.4568,1.2957,1.4342,1216447.825997
2024-08-24,1.4344,1.5172,1.4258,1.4802,567564.845356
2024-08-25,1.4816,1.5467,1.4072,1.4961,698949.636615
2024-08-26,1.4961,1.5101,1.4165,1.4246,487906.061651
2024-08-27,1.425,1.5208,1.3135,1.3472,989915.861137
2024-08-28,1.3461,1.4765,1.3324,1.4425,1051906.843579
2024-08-29,1.4422,1.52,1.4123,1.4572,1047663.420726
2024-08-30,1.4563,1.49,1.326,1.4261,1212918.111937
2024-08-31,1.4255,1.5081,1.3361,1.3636,1166148.233294
2024-09-01,1.3626,1.371,1.2566,1.2855,1104778.147763
2024-09-02,1.285,1.2965,1.2344,1.2678,1104206.368239
2024-09-03,1.2679,1.2861,1.1684,1.1717,890910.342605
2024-09-04,1.1717,1.3,1.1207,1.231,1259872.345828
2024-09-05,1.2311,1.2364,1.1609,1.162,1051436.191293
2024-09-06,1.1628,1.2149,1.1053,1.1501,837855.657238
2024-09-07,1.1494,1.21,1.1466,1.1794,699270.775613
2024-09-08,1.1801,1.2279,1.1729,1.2014,526349.368428
2024-09-09,1.2028,1.2864,1.1941,1.26,474810.112639
2024-09-10,1.2602,1.3314,1.2319,1.3017,617553.900213
2024-09-11,1.3029,1.3059,1.2055,1.2551,669873.15392
2024-09-12,1.2552,1.2772,1.2209,1.2551,753534.456268
2024-09-13,1.2552,1.3348,1.2202,1.3214,798544.973188
2024-09-14,1.3215,1.328,1.2791,1.3228,351494.245129
2024-09-15,1.3225,1.349,1.275,1.2829,543613.390691
2024-09-16,1.2803,1.2807,1.2136,1.226,550811.177451
2024-09-17,1.2253,1.4578,1.2138,1.3941,3339897.4955
2024-09-18,1.3941,1.396,1.3043,1.3944,1511888.639216
2024-09-19,1.3937,1.5399,1.36,1.5022,1391292.095347
2024-09-20,1.5021,1.6368,1.4802,1.5712,1860852.689914
2024-09-21,1.5711,1.6622,1.5132,1.6544,1142215.588699
2024-09-22,1.6545,1.7145,1.5883,1.6854,872519.488984
2024-09-23,1.6847,1.8681,1.6449,1.8057,2434592.87551
2024-09-24,1.8058,1.8144,1.7282,1.7867,1285262.660755
2024-09-25,1.7855,1.8053,1.7184,1.7248,1426855.411177
2024-09-26,1.7251,1.8494,1.6951,1.7753,1162284.991785
2024-09-27,1.7757,1.8663,1.7632,1.8169,806749.972223
2024-09-28,1.818,1.8312,1.7232,1.7776,577372.019284
2024-09-29,1.7773,1.8516,1.733,1.801,661309.892298
2024-09-30,1.8016,1.8141,1.6562,1.6875,1001568.428404
2024-10-01,1.6874,1.7679,1.5232,1.5557,1090624.712348
2024-10-02,1.5557,1.6557,1.5259,1.5588,790619.99767
2024-10-03,1.5584,1.6041,1.4694,1.5108,826112.8492
2024-10-04,1.5105,1.5841,1.4864,1.5564,770658.764447
2024-10-05,1.5566,1.5833,1.4843,1.5171,496231.605556
2024-10-06,1.5172,1.5604,1.4857,1.5252,418831.319181
2024-10-07,1.5253,1.582,1.4726,1.4833,1205164.402829
2024-10-08,1.482,1.5099,1.4132,1.43,1096070.4216
2024-10-09,1.4302,1.4709,1.36,1.374,724499.961987
2024-10-10,1.3739,1.4626,1.3648,1.461,1024939.729645
2024-10-11,1.461,1.498,1.4323,1.4903,624871.565445
2024-10-12,1.4904,1.5799,1.4756,1.5609,841848.039923
2024-10-13,1.5609,1.566,1.4586,1.5039,533113.811767
2024-10-14,1.5044,1.6899,1.4786,1.6711,1123101.98046
2024-10-15,1.6716,1.6772,1.5413,1.5875,944102.477116
2024-10-16,1.5871,1.598,1.5043,1.5281,670421.570595
2024-10-17,1.5282,1.5517,1.4612,1.5035,421838.226887
2024-10-18,1.5036,1.5638,1.4973,1.5571,453224.675921
2024-10-19,1.5567,1.6244,1.5349,1.575,763096.07613
2024-10-20,1.575,1.6764,1.5355,1.6523,1121647.082769
2024-10-21,1.6519,1.659,1.542,1.542,560895.806575
2024-10-22,1.5437,1.5613,1.4848,1.5019,818406.142859
2024-10-23,1.503,1.508,1.4149,1.4678,589190.26097
2024-10-24,1.4696,1.4905,1.4415,1.467,533843.90684
2024-10-25,1.4673,1.4731,1.2636,1.3302,909892.032371
2024-10-26,1.3303,1.3533,1.2993,1.3424,706294.261844
2024-10-27,1.3416,1.3577,1.3167,1.3411,497496.862658
2024-10-28,1.3426,1.3676,1.2776,1.3536,741929.728366
2024-10-29,1.3551,1.4474,1.3363,1.4161,1228668.169223
2024-10-30,1.4175,1.4175,1.3566,1.3754,361428.281051
2024-10-31,1.3758,1.3772,1.185,1.2044,1480250.140742
2024-11-01,1.2026,1.2052,1.1061,1.1136,2850591.433334
2024-11-02,1.1135,1.1228,1.0529,1.066,2285077.299164
2024-11-03,1.0661,1.147,1.0368,1.1063,4615117.160951
2024-11-04,1.1062,1.1185,1.0214,1.0459,2700825.234552
2024-11-05,1.0464,1.1092,1.0464,1.0804,1485745.276416
2024-11-06,1.0802,1.2435,1.079,1.2293,3384542.847503
2024-11-07,1.229,1.2862,1.1871,1.2239,1970677.795572
2024-11-08,1.2248,1.2533,1.1504,1.1992,1361734.059815
2024-11-09,1.1993,1.39,1.1953,1.3007,2571364.317403
2024-11-10,1.3013,1.3716,1.2392,1.3046,2882822.969436
2024-11-11,1.3056,1.4255,1.2882,1.4087,2875756.886833
2024-11-12,1.4085,1.5139,1.2501,1.345,4955716.727668
2024-11-13,1.3457,1.3674,1.1963,1.2424,3656584.263586
2024-11-14,1.2432,1.283,1.1429,1.1632,3285643.808524
2024-11-15,1.164,1.297,1.1348,1.2626,2417263.33531
2024-11-16,1.2627,1.3834,1.2527,1.3631,2773792.910336
2024-11-17,1.3639,1.381,1.2765,1.299,2033747.812166
2024-11-18,1.2984,1.4073,1.2881,1.3916,2272765.710442
2024-11-19,1.3911,1.4242,1.3249,1.3868,1944598.710742
2024-11-20,1.3871,1.3871,1.2479,1.2754,1840989.496493
2024-11-21,1.2748,1.398,1.2312,1.3604,2490177.200366
2024-11-22,1.3611,1.487,1.322,1.4855,1866866.673839
2024-11-23,1.4852,1.6664,1.4432,1.5931,3033587.06814
2024-11-24,1.5923,1.7867,1.5472,1.7676,4151280.74989
2024-11-25,1.7687,1.8188,1.6289,1.7017,2573645.740486
2024-11-26,1.7001,1.7493,1.5966,1.6788,1824613.455758
