timestamp,open,high,low,close,volume
2024-07-11,21.22,22.35,20.48,20.48,4183.139885
2024-07-12,20.66,21.0,19.9,20.08,2944.012333
2024-07-13,20.19,21.38,19.47,20.84,6367.538117
2024-07-14,20.91,21.36,20.0,20.88,5102.572433
2024-07-15,20.88,21.17,19.7,20.71,4309.508626
2024-07-16,20.73,21.85,20.17,21.05,4470.687441
2024-07-17,20.85,21.17,19.9,19.9,2286.297825
2024-07-18,19.99,20.24,19.22,19.38,1942.036037
2024-07-19,19.38,20.15,18.97,20.04,4579.917384
2024-07-20,20.04,20.24,19.19,19.87,2968.81184
2024-07-21,19.87,20.5,19.1,19.74,2837.811112
2024-07-22,19.83,20.88,19.3,19.38,2606.047167
2024-07-23,19.25,19.9,18.59,19.03,1991.610917
2024-07-24,19.14,19.21,18.31,18.38,1223.324099
2024-07-25,18.51,20.75,17.92,18.6,11546.332962
2024-07-26,18.6,19.19,18.33,19.04,1708.056828
2024-07-27,19.02,19.47,18.73,19.04,1822.163462
2024-07-28,19.0,19.63,18.52,18.81,2276.764695
2024-07-29,18.8,19.55,18.77,19.25,1616.276113
2024-07-30,19.08,19.32,18.15,18.17,2405.297562
2024-07-31,18.17,18.46,17.34,17.37,2743.835773
2024-08-01,17.5,17.55,16.46,17.42,2173.097405
2024-08-02,17.48,17.72,16.25,16.58,1139.342521
2024-08-03,16.53,17.0,15.78,15.87,1225.549325
2024-08-04,15.87,16.61,15.25,15.46,1825.720216
2024-08-05,15.38,15.52,12.67,14.25,4499.897054
2024-08-06,14.32,15.08,14.12,14.99,2240.434353
2024-08-07,14.84,15.19,14.01,14.25,1337.720998
2024-08-08,14.3,15.75,14.14,15.7,1734.275314
2024-08-09,15.64,15.69,15.19,15.45,355.005675
2024-08-10,15.53,16.05,15.35,15.69,1853.936127
2024-08-11,15.64,17.65,15.52,16.47,14615.432455
2024-08-12,16.54,17.47,15.63,15.8,5923.761597
2024-08-13,15.81,15.85,15.3,15.72,2627.956666
2024-08-14,15.73,15.96,15.24,15.43,1042.662891
2024-08-15,15.41,15.6,14.45,14.7,1116.322759
2024-08-16,14.7,15.07,14.33,14.73,1376.836445
2024-08-17,14.74,17.89,14.74,15.82,32820.131683
2024-08-18,15.85,17.13,15.69,16.11,5197.255885
2024-08-19,16.14,17.18,15.7,16.81,6079.999861
2024-08-20,16.76,17.1,16.22,16.57,5595.642395
2024-08-21,16.58,17.8,16.1,17.44,12552.789463
2024-08-22,17.37,17.67,16.9,17.1,2065.169969
2024-08-23,17.22,18.35,17.02,18.03,5223.600056
2024-08-24,17.99,18.51,17.4,18.12,3171.013948
2024-08-25,18.15,18.2,17.52,17.58,1278.930195
2024-08-26,17.73,18.21,16.76,16.87,7128.012779
2024-08-27,16.87,17.27,15.46,15.54,9970.214066
2024-08-28,15.48,16.15,15.21,15.36,4323.84718
2024-08-29,15.42,17.3,15.4,15.5,6920.533602
2024-08-30,15.54,16.21,15.19,15.89,3030.643563
2024-08-31,15.88,15.93,15.15,15.48,875.239304
2024-09-01,15.28,15.7,14.9,15.07,633.630701
2024-09-02,15.28,16.0,14.79,15.89,987.763624
2024-09-03,15.89,15.95,15.01,15.09,1900.451061
2024-09-04,15.07,15.38,14.15,15.09,3554.620975
2024-09-05,15.11,15.13,14.54,14.63,510.975337
2024-09-06,14.83,15.19,14.01,14.47,1297.145503
2024-09-07,14.47,14.97,14.47,14.53,618.161272
2024-09-08,14.57,15.18,14.57,15.16,756.964569
2024-09-09,15.16,16.05,14.79,15.93,3003.762856
2024-09-10,15.98,15.98,15.28,15.76,2390.32186
2024-09-11,15.84,15.84,14.84,15.08,2426.789003
2024-09-12,15.08,15.28,14.96,15.13,1748.260547
