timestamp,open,high,low,close,volume
2024-07-11,0.9712,1.1501,0.9476,1.0613,4584389.639892
2024-07-12,1.0606,1.0931,0.9794,1.0691,2252836.102593
2024-07-13,1.0672,1.0917,1.0427,1.0681,1282543.314053
2024-07-14,1.0681,1.1022,1.022,1.0792,1099958.100463
2024-07-15,1.0772,1.2516,1.0615,1.237,1974906.863206
2024-07-16,1.2369,1.416,1.2369,1.3013,2689073.192142
2024-07-17,1.3013,1.3212,1.2556,1.2952,1111222.124191
2024-07-18,1.2948,1.3336,1.2648,1.2967,976158.67345
2024-07-19,1.2967,1.298,1.2173,1.2833,1029093.747679
2024-07-20,1.2831,1.4052,1.2573,1.3362,1666063.911075
2024-07-21,1.3356,1.4175,1.2659,1.387,834493.06243
2024-07-22,1.387,1.387,1.2797,1.2874,782358.293232
2024-07-23,1.2877,1.3219,1.2279,1.2606,774834.137801
2024-07-24,1.2586,1.2777,1.2103,1.2218,655415.73111
2024-07-25,1.2205,1.2547,1.1508,1.2005,840540.550889
2024-07-26,1.2,1.2205,1.1784,1.1978,935446.213367
2024-07-27,1.1958,1.2293,1.1164,1.199,1056095.499238
2024-07-28,1.1988,1.2,1.1413,1.15,450866.080845
2024-07-29,1.1504,1.1833,1.1438,1.1697,381354.251171
2024-07-30,1.1742,1.228,1.1631,1.1822,686966.417594
2024-07-31,1.1815,1.1998,1.1325,1.1621,439649.008425
2024-08-01,1.1629,1.233,1.1086,1.2279,1002985.213687
2024-08-02,1.2303,1.2481,1.1318,1.1408,1391961.869852
2024-08-03,1.1402,1.1802,1.0238,1.0453,1255026.999659
2024-08-04,1.0448,1.089,0.9652,0.9795,1028785.63302
2024-08-05,0.9795,1.0514,0.85,1.0219,3672023.083023
2024-08-06,1.0196,1.073,0.9917,1.0274,1344209.139342
2024-08-07,1.0265,1.0815,0.9624,0.9659,1232737.655509
2024-08-08,0.9684,1.0583,0.9431,1.0374,1790025.099966
2024-08-09,1.0398,1.05,0.9482,0.9931,894277.223185
2024-08-10,0.995,1.0817,0.9866,1.0741,879942.030667
2024-08-11,1.0756,1.0912,0.9822,0.9895,470210.459614
2024-08-12,0.9877,1.0026,0.9179,0.9362,1702684.977909
2024-08-13,0.9328,0.9915,0.9236,0.975,844371.239309
2024-08-14,0.9711,1.0018,0.9468,0.9761,1278917.157329
2024-08-15,0.9756,1.0003,0.9174,0.9385,1710968.153825
