timestamp,open,high,low,close,volume
2024-07-11,0.863,0.904,0.857,0.874,67351.28216
2024-07-12,0.875,0.97,0.849,0.882,116670.005334
2024-07-13,0.883,0.909,0.87,0.893,25028.112592
2024-07-14,0.893,0.964,0.889,0.9,49559.047669
2024-07-15,0.901,0.926,0.895,0.925,29087.901094
2024-07-16,0.923,0.942,0.913,0.926,40145.375136
2024-07-17,0.926,0.947,0.923,0.938,22719.801904
2024-07-18,0.939,1.05,0.931,0.955,136540.205668
2024-07-19,0.956,1.08,0.949,0.988,111242.267236
2024-07-20,0.988,1.02,0.978,0.995,28180.468319
2024-07-21,0.995,1.129,0.97,0.988,176778.959972
2024-07-22,0.988,1.003,0.982,0.996,19780.882274
2024-07-23,0.998,0.998,0.958,0.968,16679.072386
2024-07-24,0.966,0.983,0.939,0.947,35163.712854
2024-07-25,0.947,0.98,0.915,0.922,47297.558575
2024-07-26,0.922,0.95,0.92,0.94,20615.662098
2024-07-27,0.934,0.951,0.923,0.939,9698.370009
2024-07-28,0.934,0.945,0.927,0.937,7336.773304
2024-07-29,0.936,0.982,0.935,0.939,29870.237904
2024-07-30,0.942,1.087,0.936,0.993,156992.901839
2024-07-31,0.993,1.035,0.95,0.951,67052.00274
2024-08-01,0.955,0.991,0.934,0.947,68935.099177
2024-08-02,0.945,0.983,0.908,0.914,57439.814136
2024-08-03,0.914,0.924,0.849,0.864,46493.854509
2024-08-04,0.865,0.889,0.84,0.849,40886.565048
2024-08-05,0.849,0.863,0.772,0.807,67278.068076
2024-08-06,0.807,0.873,0.8,0.847,48914.32363
2024-08-07,0.848,0.904,0.835,0.847,54586.305407
2024-08-08,0.849,0.906,0.846,0.869,52900.870998
2024-08-09,0.869,0.913,0.863,0.882,43454.901482
2024-08-10,0.88,0.894,0.877,0.888,10001.480697
2024-08-11,0.888,0.897,0.864,0.864,14057.142673
2024-08-12,0.866,0.871,0.851,0.863,14877.645654
2024-08-13,0.864,0.871,0.854,0.862,16483.914921
2024-08-14,0.864,0.911,0.861,0.873,39193.227956
2024-08-15,0.872,0.887,0.832,0.832,22039.639723
2024-08-16,0.831,0.854,0.823,0.835,30907.420622
2024-08-17,0.835,0.848,0.824,0.834,3222.361936
2024-08-18,0.835,0.843,0.822,0.837,4775.264904
2024-08-19,0.838,0.861,0.824,0.838,17260.294597
2024-08-20,0.84,0.853,0.831,0.845,17852.427791
2024-08-21,0.839,0.859,0.839,0.848,9397.796398
2024-08-22,0.849,0.858,0.838,0.838,11949.336152
2024-08-23,0.842,0.884,0.838,0.867,38738.356396
2024-08-24,0.864,0.905,0.858,0.873,35846.18712
2024-08-25,0.874,0.885,0.841,0.87,23232.034891
2024-08-26,0.87,0.964,0.863,0.882,97582.092712
2024-08-27,0.88,0.915,0.855,0.889,109453.948067
2024-08-28,0.889,0.944,0.871,0.9241,41723.808758
2024-08-29,0.921,0.9289,0.8111,0.824,77174.433022
2024-08-30,0.824,0.8269,0.789,0.8059,47044.43268
2024-08-31,0.805,0.8101,0.7931,0.797,24034.089019
