timestamp,open,high,low,close,volume
2024-07-11,19.59,20.61,19.35,19.64,80148.621036
2024-07-12,19.62,20.43,19.17,20.17,37515.005412
2024-07-13,20.18,20.3,19.14,19.6,85624.146376
2024-07-14,19.59,20.0,19.44,19.94,30841.835402
2024-07-15,19.96,21.33,19.91,21.31,59906.541173
2024-07-16,21.3,21.39,20.08,21.09,76913.805872
2024-07-17,21.1,21.42,20.76,20.98,48557.106524
2024-07-18,20.99,21.16,19.78,20.12,43638.597013
2024-07-19,20.13,20.9,19.77,20.76,78357.604488
2024-07-20,20.78,20.95,20.31,20.42,36114.367472
2024-07-21,20.43,20.76,19.73,20.5,39784.299368
2024-07-22,20.52,20.81,19.57,19.73,84141.043689
2024-07-23,19.72,20.15,19.22,19.48,77977.149201
2024-07-24,19.48,19.6,18.72,18.97,48287.557649
2024-07-25,18.97,19.22,18.15,19.05,80137.877514
2024-07-26,19.06,19.63,18.99,19.39,40965.410452
2024-07-27,19.39,20.09,19.24,19.61,64984.724728
2024-07-28,19.61,19.64,18.6,18.91,30346.821803
2024-07-29,18.91,19.67,18.82,19.07,66595.607637
2024-07-30,19.07,19.12,18.17,18.66,56448.912043
2024-07-31,18.66,19.29,18.3,18.39,41351.241411
2024-08-01,18.39,18.65,17.0,18.2,94011.885258
2024-08-02,18.2,18.36,16.9,16.99,83478.680991
2024-08-03,17.0,17.24,16.21,16.8,91330.313652
2024-08-04,16.8,17.17,15.43,16.31,102283.782741
2024-08-05,16.32,16.43,12.01,14.77,426919.661168
2024-08-06,14.77,15.86,14.75,15.39,83676.181449
2024-08-07,15.39,15.99,14.5,14.76,41783.522063
2024-08-08,14.77,15.94,14.5,15.8,80023.083732
2024-08-09,15.8,15.82,14.88,15.18,48919.845375
2024-08-10,15.19,15.36,14.94,15.12,31115.588574
2024-08-11,15.12,15.81,14.5,14.57,41594.372533
2024-08-12,14.57,15.17,14.4,14.9,59576.121056
2024-08-13,14.91,15.18,14.59,15.0,39755.236166
2024-08-14,15.01,15.26,14.55,14.7,39120.74942
2024-08-15,14.7,15.02,13.77,13.98,54614.470139
2024-08-16,13.98,14.3,13.15,13.5,74775.322892
2024-08-17,13.49,15.16,13.42,14.68,87745.204833
2024-08-18,14.68,15.2,14.48,14.63,29532.513518
2024-08-19,14.64,16.42,14.54,15.71,52631.535671
2024-08-20,15.7,15.9,15.01,15.34,35381.656018
2024-08-21,15.33,15.42,14.68,15.3,40051.441662
2024-08-22,15.29,15.59,15.05,15.42,34596.77378
2024-08-23,15.44,17.24,15.33,17.09,75082.078633
2024-08-24,17.09,17.53,16.57,16.87,64962.743963
2024-08-25,16.87,16.93,16.09,16.42,35306.22746
2024-08-26,16.44,16.52,15.35,15.37,37821.213414
2024-08-27,15.37,15.67,13.68,14.23,51010.409468
2024-08-28,14.23,14.53,13.54,13.79,56873.110213
2024-08-29,13.76,14.52,13.62,13.99,64269.440401
2024-08-30,13.98,14.19,13.24,14.12,62287.124076
2024-08-31,14.12,14.43,13.83,14.01,28126.126454
2024-09-01,14.01,14.11,13.28,13.42,35739.395221
2024-09-02,13.38,14.04,13.2,13.91,60235.265986
2024-09-03,13.92,14.18,13.21,13.24,49042.736684
2024-09-04,13.26,13.82,12.56,13.67,48820.082061
2024-09-05,13.67,13.8,12.86,12.9,41703.881143
2024-09-06,12.91,13.17,12.24,12.64,54918.339651
2024-09-07,12.65,13.07,12.59,12.82,22513.790918
2024-09-08,12.82,13.67,12.71,13.57,26673.962737
2024-09-09,13.58,13.95,13.34,13.74,36546.678007
2024-09-10,13.76,13.77,13.35,13.65,42155.182934
2024-09-11,13.65,13.71,13.0,13.09,34923.572385
2024-09-12,13.09,13.55,13.01,13.23,36360.799752
2024-09-13,13.23,13.69,13.1,13.6,29325.413766
2024-09-14,13.59,13.65,13.14,13.31,36207.137632
2024-09-15,13.32,13.45,12.55,12.7,45579.001851
2024-09-16,12.71,12.83,12.41,12.73,49648.240945
2024-09-17,12.73,13.12,12.58,12.95,30841.828827
2024-09-18,12.95,13.32,12.59,13.32,45579.684762
2024-09-19,13.32,14.72,13.27,14.15,68303.027666
2024-09-20,14.14,14.46,13.81,14.27,45526.757812
2024-09-21,14.25,15.71,13.85,15.58,78286.774096
2024-09-22,15.58,16.07,14.31,14.88,127228.905264
2024-09-23,14.86,15.26,14.54,14.66,66223.216626
2024-09-24,14.67,15.36,14.33,15.09,49307.455501
2024-09-25,15.09,15.57,14.82,14.91,74479.185224
2024-09-26,14.92,15.41,14.55,15.06,56789.620542
2024-09-27,15.07,15.73,14.79,15.46,71131.945569
2024-09-28,15.44,16.03,14.86,15.13,51118.205366
2024-09-29,15.12,15.77,14.68,15.35,60313.65678
2024-09-30,15.35,15.54,14.36,14.48,59557.969541
2024-10-01,14.47,14.8,13.1,13.5,75493.601305
2024-10-02,13.5,13.82,12.83,13.1,56377.231233
2024-10-03,13.09,13.29,12.48,13.07,64930.828264
2024-10-04,13.06,16.94,12.96,16.14,250808.935341
2024-10-05,16.14,16.26,14.72,15.28,109211.212251
2024-10-06,15.25,17.39,15.09,16.85,168716.492113
2024-10-07,16.84,17.8,16.02,16.1,119648.167948
2024-10-08,16.11,17.56,15.74,16.99,103100.848199
2024-10-09,16.99,17.62,15.17,15.44,97045.701962
2024-10-10,15.43,15.96,14.8,15.8,62803.021194
2024-10-11,15.78,16.54,15.66,16.25,88722.412678
2024-10-12,16.27,16.7,15.91,16.01,64114.07927
2024-10-13,16.01,16.2,15.18,15.38,42237.235395
2024-10-14,15.39,16.4,15.16,16.04,83470.492099
2024-10-15,16.04,16.05,15.02,15.38,69048.82809
2024-10-16,15.37,15.78,15.01,15.06,67750.898145
2024-10-17,15.07,15.23,14.63,15.01,44035.216618
2024-10-18,15.01,15.37,14.94,15.09,25649.627704
2024-10-19,15.09,15.48,14.97,15.22,47256.786111
2024-10-20,15.22,15.7,14.92,15.61,39697.017953
2024-10-21,15.6,15.63,14.83,14.91,55838.335955
2024-10-22,14.9,15.12,14.05,14.32,62690.784726
2024-10-23,14.32,14.43,13.37,13.95,61155.821915
2024-10-24,13.95,14.67,13.55,14.03,80229.219864
2024-10-25,14.03,14.3,12.94,13.55,64206.303171
2024-10-26,13.54,13.85,13.06,13.48,45548.310672
2024-10-27,13.47,13.84,13.24,13.66,40306.892344
2024-10-28,13.65,13.73,13.07,13.61,38737.733233
2024-10-29,13.6,14.39,13.56,14.21,50650.72299
2024-10-30,14.21,14.22,13.48,13.6,39404.819258
2024-10-31,13.61,13.64,12.53,12.63,78074.536487
2024-11-01,12.62,13.69,12.31,13.34,126960.537308
2024-11-02,13.33,14.2,12.92,13.02,47810.145415
2024-11-03,13.01,13.2,12.36,12.83,53366.854568
2024-11-04,12.81,13.16,12.1,12.31,116271.815459
2024-11-05,12.3,12.98,12.27,12.82,68615.876396
2024-11-06,12.82,14.2,12.82,14.0,91773.26483
2024-11-07,14.01,14.48,13.69,14.08,64061.074036
2024-11-08,14.08,14.59,13.32,13.74,52584.382629
2024-11-09,13.75,15.13,13.5,14.66,62091.421606
2024-11-10,14.67,16.46,14.56,15.32,137552.914893
2024-11-11,15.32,16.25,15.01,16.1,103529.763674
2024-11-12,16.1,16.22,14.23,14.86,166063.233395
2024-11-13,14.86,15.09,13.66,14.54,117703.395956
2024-11-14,14.51,14.85,13.71,13.96,90193.601193
2024-11-15,13.96,14.3,13.51,14.29,66854.984512
2024-11-16,14.29,15.68,14.27,15.11,102717.513588
2024-11-17,15.12,16.0,14.54,15.19,117925.570257
2024-11-18,15.19,16.66,14.96,16.29,131132.215763
2024-11-19,16.3,16.34,14.85,15.19,83665.836568
2024-11-20,15.19,15.19,14.23,14.54,88615.996645
2024-11-21,14.54,15.5,14.48,15.24,147156.749879
2024-11-22,15.23,16.04,14.98,16.03,103439.464205
2024-11-23,16.04,38.3,15.87,24.98,1314075.642694
2024-11-24,24.95,26.3,21.0,22.5,467521.749646
2024-11-25,22.53,25.93,21.51,23.42,319416.752273
2024-11-26,23.47,25.86,22.06,22.88,223752.716597
2024-11-27,22.91,24.26,22.52,24.09,127487.668523
2024-11-28,24.08,24.8,23.03,23.85,109058.209592
2024-11-29,23.87,30.0,23.75,29.4,363798.540064
2024-11-30,29.4,33.87,28.7,29.91,435454.225027
2024-12-01,29.92,32.43,29.3,31.21,167574.00277
2024-12-02,31.21,33.53,29.44,32.41,251373.797396
2024-12-03,32.36,35.89,29.41,34.89,282738.222753
2024-12-04,34.9,36.14,31.6,32.39,179392.750328
2024-12-05,32.39,32.75,30.0,31.11,177420.523858
2024-12-06,31.14,33.29,30.81,32.2,133741.199544
2024-12-07,32.18,32.99,31.26,32.47,98494.216528
2024-12-08,32.46,34.0,30.8,32.44,129041.79032
2024-12-09,32.43,32.47,21.47,25.94,363868.207674
2024-12-10,25.92,26.44,22.59,24.8,211341.888118
2024-12-11,24.8,27.5,23.65,26.4,108913.817807
2024-12-12,26.42,28.33,26.09,26.74,126812.140248
2024-12-13,26.74,28.16,26.0,27.85,129635.904861
2024-12-14,27.86,29.94,26.33,26.63,179110.254749
2024-12-15,26.64,29.13,26.1,27.76,122290.332668
2024-12-16,27.79,28.24,26.23,26.62,80259.33458
2024-12-17,26.59,26.98,24.78,24.98,116247.692152
2024-12-18,25.0,25.36,22.65,23.91,143525.711248
2024-12-19,23.91,26.08,22.6,23.4,231439.736556
2024-12-20,23.4,24.38,18.31,22.02,328399.782348
2024-12-21,22.02,23.37,20.11,20.59,149321.785235
2024-12-22,20.62,21.87,20.24,20.95,133931.581459
2024-12-23,20.94,23.31,20.43,22.76,97987.617778
2024-12-24,22.81,23.24,21.72,22.93,71660.842315
2024-12-25,22.93,23.18,22.13,22.7,57514.053092
2024-12-26,22.73,22.98,21.01,21.37,85178.92952
2024-12-27,21.39,22.37,20.8,21.1,89803.768376
2024-12-28,21.17,22.22,20.94,21.99,35882.643195
2024-12-29,22.0,22.04,21.01,21.27,43941.852102
2024-12-30,21.24,21.83,20.13,20.91,62236.32058
2024-12-31,20.95,22.16,20.34,21.17,58970.74538
2025-01-01,21.17,22.96,20.81,22.85,53366.037317
2025-01-02,22.86,25.28,22.57,23.81,167699.076366
2025-01-03,23.85,24.49,23.21,24.15,59295.173222
2025-01-04,24.17,24.7,23.74,24.25,68637.298824
2025-01-05,24.23,24.35,23.21,23.58,70949.324974
2025-01-06,23.59,24.6,23.22,23.99,65519.905009
