timestamp,open,high,low,close,volume
2024-07-11,0.6946,0.717,0.6707,0.6732,773487.806371
2024-07-12,0.6736,0.6976,0.6666,0.6928,1309747.515301
2024-07-13,0.6929,0.7018,0.673,0.684,827347.810344
2024-07-14,0.6844,0.7368,0.6844,0.7278,896425.465813
2024-07-15,0.7283,0.7551,0.7117,0.7513,3278949.045782
2024-07-16,0.7515,0.7634,0.7079,0.7361,3050276.030814
2024-07-17,0.7361,0.7534,0.7176,0.7245,2311049.290666
2024-07-18,0.7249,0.7524,0.695,0.7119,2323971.729911
2024-07-19,0.7124,0.75,0.6979,0.747,1931252.757284
2024-07-20,0.7469,0.7564,0.7362,0.7452,1320518.863475
2024-07-21,0.7454,0.7601,0.7035,0.7584,2691900.441229
2024-07-22,0.7584,0.7629,0.7163,0.7195,1796474.682778
2024-07-23,0.7193,0.7375,0.6878,0.6983,2065389.766383
2024-07-24,0.6977,0.7121,0.6808,0.6876,1666778.494037
2024-07-25,0.6875,0.6909,0.6518,0.6817,2420065.708104
2024-07-26,0.681,0.7171,0.6797,0.7165,1413082.646937
2024-07-27,0.7161,0.7287,0.6991,0.7177,774693.197072
2024-07-28,0.7172,0.7182,0.6892,0.6959,753885.628569
2024-07-29,0.6967,0.7326,0.6962,0.7013,1350222.619546
2024-07-30,0.7004,0.7122,0.6759,0.6889,1009606.472865
2024-07-31,0.6885,0.7012,0.662,0.6682,1353118.641028
2024-08-01,0.6679,0.6738,0.603,0.6467,2596148.02177
2024-08-02,0.647,0.6552,0.5982,0.6133,2193080.568419
2024-08-03,0.6129,0.6218,0.5778,0.5893,1768359.377677
2024-08-04,0.5897,0.6037,0.547,0.5527,2458726.750648
2024-08-05,0.5531,0.5589,0.4461,0.4994,11532525.72114
2024-08-06,0.4994,0.5455,0.499,0.5315,2491272.544338
2024-08-07,0.5314,0.5556,0.5162,0.524,1886072.914638
2024-08-08,0.5242,0.5924,0.516,0.5901,2419835.142392
2024-08-09,0.5898,0.5914,0.5708,0.5875,1505132.552784
2024-08-10,0.5871,0.6079,0.5765,0.6006,843050.273145
